inv_id,ing_id,stock_levels,reorder_point_packages
inv_001,ing001,38,23
inv_002,ing002,22,13
inv_003,ing003,15,9
inv_004,ing004,27,16
inv_005,ing005,18,11
inv_006,ing006,12,7
inv_007,ing007,25,15
inv_008,ing008,14,8
inv_009,ing009,20,12
inv_010,ing010,18,11
inv_011,ing011,8,5
inv_012,ing012,24,14
inv_013,ing013,17,10
inv_014,ing014,13,8
inv_015,ing015,19,11
inv_016,ing016,26,16
inv_017,ing017,10,6
inv_018,ing018,9,5
inv_019,ing019,14,8
inv_020,ing020,11,7
inv_021,ing021,17,10
inv_022,ing022,11,7
inv_023,ing023,16,10
inv_024,ing024,18,11
inv_025,ing025,12,7
inv_026,ing026,14,8
inv_027,ing027,9,5
inv_028,ing028,13,8
inv_029,ing029,10,6
inv_030,ing030,26,16
inv_031,ing031,10,6
inv_032,ing032,22,13
inv_033,ing033,15,9
inv_034,ing034,14,8
inv_035,ing035,33,20
inv_036,ing036,20,12
inv_037,ing037,19,11
inv_038,ing038,15,9
inv_039,ing039,17,10
inv_040,ing040,16,10
inv_041,ing041,18,11
inv_042,ing042,13,8
inv_043,ing043,10,6
inv_044,ing044,22,13
inv_045,ing045,18,11
inv_046,ing046,20,12
inv_047,ing047,75,45
inv_048,ing048,48,29
inv_049,ing049,82,49
inv_050,ing050,55,33
inv_051,ing051,80,48
inv_052,ing052,54,32
inv_053,ing053,78,47
inv_054,ing054,52,31
