snap_id,snapshot_date,ing_id,ing_name,opening_stock,consumed_packages,closing_stock,pending_order
snap00001,2023-02-16,ing001,"Flatbread Dough (8-pack)",38,4,34,N
snap00002,2023-02-16,ing002,"Roasted Red Peppers",22,0,22,N
snap00003,2023-02-16,ing003,"Goat Cheese",15,1,14,N
snap00004,2023-02-16,ing004,"Black Olives",27,0,27,N
snap00005,2023-02-16,ing005,"Sun-Dried Tomatoes",18,0,18,N
snap00006,2023-02-16,ing006,"Spicy Chicken",12,1,11,N
snap00007,2023-02-16,ing007,Jalapenos,25,2,23,N
snap00008,2023-02-16,ing008,"Smoked Gouda",14,1,13,N
snap00009,2023-02-16,ing009,"Chipotle Sauce",20,0,20,N
snap00010,2023-02-16,ing010,"Wild Mushrooms",18,1,17,N
snap00011,2023-02-16,ing011,"Truffle Oil",8,1,7,N
snap00012,2023-02-16,ing012,Mozzarella,24,1,23,N
snap00013,2023-02-16,ing013,"Fresh Spinach",17,0,17,N
snap00014,2023-02-16,ing014,"Italian Sausage",13,1,12,N
snap00015,2023-02-16,ing015,"Roasted Garlic",19,0,19,N
snap00016,2023-02-16,ing016,"Red Onion",26,1,25,N
snap00017,2023-02-16,ing017,"Fresh Basil",10,0,10,N
snap00018,2023-02-16,ing018,"Smoked Salmon",9,4,5,N
snap00019,2023-02-16,ing019,"Dill Cream Cheese",14,2,12,N
snap00020,2023-02-16,ing020,Capers,11,1,10,N
snap00021,2023-02-16,ing021,Arugula,17,1,16,N
snap00022,2023-02-16,ing022,"BBQ Brisket",11,1,10,N
snap00023,2023-02-16,ing023,"Cheddar Cheese",16,1,15,N
snap00024,2023-02-16,ing024,"BBQ Sauce",18,0,18,N
snap00025,2023-02-16,ing025,"Tandoori Chicken",12,0,12,N
snap00026,2023-02-16,ing026,"Mint Yogurt",14,0,14,N
snap00027,2023-02-16,ing027,"Green Chilli",9,0,9,N
snap00028,2023-02-16,ing028,"Grilled Pineapple",13,2,11,N
snap00029,2023-02-16,ing029,"Pulled Pork",10,3,7,N
snap00030,2023-02-16,ing030,"Truffle Fries",26,1,25,N
snap00031,2023-02-16,ing031,Parmesan,10,0,10,N
snap00032,2023-02-16,ing032,"Cauliflower Florets",22,1,21,N
snap00033,2023-02-16,ing033,"Buffalo Sauce",15,0,15,N
snap00034,2023-02-16,ing034,Ranch,14,0,14,N
snap00035,2023-02-16,ing035,"Garlic Knots",33,0,33,N
snap00036,2023-02-16,ing036,Kale,20,0,20,N
snap00037,2023-02-16,ing037,Spinach,19,1,18,N
snap00038,2023-02-16,ing038,Avocado,15,0,15,N
snap00039,2023-02-16,ing039,"Mixed Seeds",17,0,17,N
snap00040,2023-02-16,ing040,"Caramel Filling",16,1,15,N
snap00041,2023-02-16,ing041,"Chocolate Syrup",18,0,18,N
snap00042,2023-02-16,ing042,"Espresso Panna Base",13,0,13,N
snap00043,2023-02-16,ing043,"Vanilla Syrup",10,0,10,N
snap00044,2023-02-16,ing044,"Berry Mix",22,0,22,N
snap00045,2023-02-16,ing045,"Oat Crumble",18,0,18,N
snap00046,2023-02-16,ing046,"Mango Sticky Rice Mix",20,1,19,N
snap00047,2023-02-16,ing047,"Cold Brew Coffee",75,9,66,N
snap00048,2023-02-16,ing048,"Cold Brew Coffee 1.5L",48,1,47,N
snap00049,2023-02-16,ing050,"Ginger Fizz 1.5L",55,5,50,N
snap00050,2023-02-16,ing051,"Lime Mint Sparkle 33cl",80,3,77,N
snap00051,2023-02-16,ing052,"Lime Mint Sparkle 1.5L",54,8,46,N
snap00052,2023-02-16,ing053,"Berry Kombucha 33cl",78,3,75,N
snap00053,2023-02-17,ing001,"Flatbread Dough (8-pack)",34,5,29,N
snap00054,2023-02-17,ing002,"Roasted Red Peppers",22,0,22,N
snap00055,2023-02-17,ing003,"Goat Cheese",14,1,13,N
snap00056,2023-02-17,ing004,"Black Olives",27,0,27,N
snap00057,2023-02-17,ing005,"Sun-Dried Tomatoes",18,0,18,N
snap00058,2023-02-17,ing006,"Spicy Chicken",11,1,10,N
snap00059,2023-02-17,ing007,Jalapenos,23,2,21,N
snap00060,2023-02-17,ing008,"Smoked Gouda",13,1,12,N
snap00061,2023-02-17,ing009,"Chipotle Sauce",20,0,20,N
snap00062,2023-02-17,ing010,"Wild Mushrooms",17,1,16,N
