transaction_id,ing_id,transaction_date,transaction_type,change_qty,supplier_id
txn00001,ing018,2023-02-16,PURCHASE_ORDER,4,sup004
txn00002,ing029,2023-02-17,PURCHASE_ORDER,5,sup004
txn00003,ing011,2023-02-18,PURCHASE_ORDER,3,sup006
txn00004,ing001,2023-02-19,PURCHASE_ORDER,20,sup005
txn00005,ing022,2023-02-19,PURCHASE_ORDER,4,sup004
txn00006,ing028,2023-02-19,PURCHASE_ORDER,5,sup002
txn00007,ing048,2023-02-19,PURCHASE_ORDER,20,sup006
txn00008,ing050,2023-02-19,PURCHASE_ORDER,29,sup008
txn00009,ing052,2023-02-19,PURCHASE_ORDER,29,sup008
txn00010,ing018,2023-02-20,PURCHASE_RECEIPT,4,sup004
txn00011,ing029,2023-02-20,PURCHASE_RECEIPT,5,sup004
txn00012,ing011,2023-02-20,PURCHASE_RECEIPT,3,sup006
txn00013,ing010,2023-02-20,PURCHASE_ORDER,7,sup007
txn00014,ing011,2023-02-20,PURCHASE_ORDER,4,sup006
txn00015,ing014,2023-02-20,PURCHASE_ORDER,6,sup004
txn00016,ing029,2023-02-20,PURCHASE_ORDER,5,sup004
txn00017,ing054,2023-02-20,PURCHASE_ORDER,22,sup008
