order_id,created_at,item_id,quantity,delivery,cust_id,add_id,shift_id
ORD_00001,"2023-02-16 09:12:00",it014,2,N,411,411,sh0001
ORD_00001,"2023-02-16 09:12:00",it021,3,N,411,411,sh0001
ORD_00002,"2023-02-16 09:33:00",it005,4,Y,247,247,sh0001
ORD_00002,"2023-02-16 09:33:00",it009,4,Y,247,247,sh0001
ORD_00002,"2023-02-16 09:33:00",it011,1,Y,247,247,sh0001
ORD_00002,"2023-02-16 09:33:00",it031,3,Y,247,247,sh0001
ORD_00003,"2023-02-16 09:39:00",it008,1,N,522,522,sh0001
ORD_00004,"2023-02-16 09:42:00",it002,1,Y,33,33,sh0001
ORD_00004,"2023-02-16 09:42:00",it015,1,Y,33,33,sh0001
ORD_00005,"2023-02-16 09:51:00",it025,3,N,981,981,sh0001
ORD_00006,"2023-02-16 10:01:00",it011,1,N,788,788,sh0001
ORD_00006,"2023-02-16 10:01:00",it028,2,N,788,788,sh0001
ORD_00006,"2023-02-16 10:01:00",it030,3,N,788,788,sh0001
ORD_00007,"2023-02-16 10:02:00",it004,1,Y,501,501,sh0001
ORD_00007,"2023-02-16 10:02:00",it016,3,Y,501,501,sh0001
ORD_00007,"2023-02-16 10:02:00",it020,3,Y,501,501,sh0001
ORD_00008,"2023-02-16 10:46:00",it001,3,Y,862,862,sh0001
ORD_00008,"2023-02-16 10:46:00",it011,1,Y,862,862,sh0001
ORD_00008,"2023-02-16 10:46:00",it021,1,Y,862,862,sh0001
ORD_00009,"2023-02-16 10:58:00",it015,3,Y,547,547,sh0001
ORD_00009,"2023-02-16 10:58:00",it018,2,Y,547,547,sh0001
ORD_00009,"2023-02-16 10:58:00",it021,4,Y,547,547,sh0001
ORD_00009,"2023-02-16 10:58:00",it025,3,Y,547,547,sh0001
ORD_00010,"2023-02-16 12:10:00",it021,2,Y,864,864,sh0001
ORD_00011,"2023-02-16 14:53:00",it019,2,Y,550,550,sh0001
ORD_00012,"2023-02-16 15:12:00",it009,4,N,672,672,sh0001
ORD_00012,"2023-02-16 15:12:00",it010,4,N,672,672,sh0001
ORD_00012,"2023-02-16 15:12:00",it016,1,N,672,672,sh0001
ORD_00012,"2023-02-16 15:12:00",it017,3,N,672,672,sh0001
