row_id,sku,ingredients,quantity_value,quantity_unit
1,FLA-MED-REG,ing001,250,g
2,FLA-MED-REG,ing002,50,g
3,FLA-MED-REG,ing003,80,g
4,FLA-MED-REG,ing004,40,g
5,FLA-MED-REG,ing005,30,g
6,FLA-MED-LAR,ing001,375,g
7,FLA-MED-LAR,ing002,75,g
8,FLA-MED-LAR,ing003,120,g
9,FLA-MED-LAR,ing004,60,g
10,FLA-MED-LAR,ing005,45,g
11,FLA-SPI-REG,ing001,250,g
12,FLA-SPI-REG,ing006,100,g
13,FLA-SPI-REG,ing007,30,g
14,FLA-SPI-REG,ing008,80,g
15,FLA-SPI-REG,ing009,20,ml
16,FLA-SPI-LAR,ing001,375,g
17,FLA-SPI-LAR,ing006,150,g
18,FLA-SPI-LAR,ing007,45,g
19,FLA-SPI-LAR,ing008,120,g
20,FLA-SPI-LAR,ing009,30,ml
21,FLA-FOR-REG,ing001,250,g
22,FLA-FOR-REG,ing010,80,g
23,FLA-FOR-REG,ing011,15,ml
24,FLA-FOR-REG,ing012,80,g
25,FLA-FOR-REG,ing013,40,g
26,FLA-FOR-LAR,ing001,375,g
27,FLA-FOR-LAR,ing010,120,g
28,FLA-FOR-LAR,ing011,25,ml
29,FLA-FOR-LAR,ing012,120,g
30,FLA-FOR-LAR,ing013,60,g
31,FLA-BRO-REG,ing001,250,g
32,FLA-BRO-REG,ing014,100,g
33,FLA-BRO-REG,ing015,20,g
34,FLA-BRO-REG,ing016,40,g
35,FLA-BRO-REG,ing017,5,g
36,FLA-BRO-LAR,ing001,375,g
37,FLA-BRO-LAR,ing014,150,g
38,FLA-BRO-LAR,ing015,30,g
39,FLA-BRO-LAR,ing016,60,g
40,FLA-BRO-LAR,ing017,8,g
41,SIG-NOR-REG,ing018,100,g
42,SIG-NOR-REG,ing019,60,g
43,SIG-NOR-REG,ing020,10,g
44,SIG-NOR-REG,ing021,25,g
45,SIG-NOR-LAR,ing018,150,g
46,SIG-NOR-LAR,ing019,90,g
47,SIG-NOR-LAR,ing020,15,g
48,SIG-NOR-LAR,ing021,40,g
49,SIG-TEX-REG,ing022,100,g
50,SIG-TEX-REG,ing016,40,g
51,SIG-TEX-REG,ing023,80,g
52,SIG-TEX-REG,ing024,20,ml
53,SIG-TEX-LAR,ing022,150,g
54,SIG-TEX-LAR,ing016,60,g
55,SIG-TEX-LAR,ing023,120,g
56,SIG-TEX-LAR,ing024,30,ml
57,SIG-TAN-REG,ing025,100,g
58,SIG-TAN-REG,ing016,40,g
59,SIG-TAN-REG,ing026,20,ml
60,SIG-TAN-REG,ing027,10,g
61,SIG-TAN-LAR,ing025,150,g
62,SIG-TAN-LAR,ing016,60,g
63,SIG-TAN-LAR,ing026,30,ml
64,SIG-TAN-LAR,ing027,15,g
65,SIG-TRO-REG,ing028,60,g
66,SIG-TRO-REG,ing029,100,g
67,SIG-TRO-REG,ing012,80,g
68,SIG-TRO-REG,ing007,25,g
69,SIG-TRO-LAR,ing028,90,g
70,SIG-TRO-LAR,ing029,150,g
71,SIG-TRO-LAR,ing012,120,g
72,SIG-TRO-LAR,ing007,40,g
73,SID-TRU-REG,ing030,250,g
74,SID-TRU-REG,ing011,10,ml
75,SID-TRU-REG,ing031,10,g
76,SID-CAU-REG,ing032,200,g
77,SID-CAU-REG,ing033,15,ml
78,SID-CAU-REG,ing034,15,ml
79,SID-GAR-REG,ing035,150,g
80,SID-GAR-REG,ing023,20,g
81,SID-SUP-REG,ing036,50,g
82,SID-SUP-REG,ing037,30,g
83,SID-SUP-REG,ing038,40,g
84,SID-SUP-REG,ing039,10,g
85,DES-SAL-REG,ing040,60,g
86,DES-SAL-REG,ing041,20,ml
87,DES-ESP-REG,ing042,100,g
88,DES-ESP-REG,ing043,15,ml
89,DES-BER-REG,ing044,80,g
90,DES-BER-REG,ing045,40,g
91,DES-MAN-REG,ing046,120,g
92,BEV-COL-33,ing047,330,ml
93,BEV-COL-1500,ing048,1500,ml
94,BEV-GIN-33,ing049,330,ml
95,BEV-GIN-1500,ing050,1500,ml
96,BEV-LIM-33,ing051,330,ml
97,BEV-LIM-1500,ing052,1500,ml
98,BEV-BER-33,ing053,330,ml
99,BEV-BER-1500,ing054,1500,ml
