row_id,rota_id,date,shift_id,staff_id
1,ro0001,2023-02-16,sh0001,st0004
2,ro0001,2023-02-16,sh0001,st0008
3,ro0001,2023-02-16,sh0001,st0010
4,ro0001,2023-02-16,sh0001,st0011
5,ro0001,2023-02-16,sh0001,st0017
6,ro0001,2023-02-16,sh0001,st0015
7,ro0001,2023-02-16,sh0001,st0021
8,ro0001,2023-02-16,sh0001,st0024
9,ro0001,2023-02-16,sh0001,st0030
10,ro0001,2023-02-16,sh0001,st0027
11,ro0001,2023-02-16,sh0001,st0025
12,ro0001,2023-02-16,sh0001,st0032
13,ro0001,2023-02-16,sh0002,st0003
14,ro0001,2023-02-16,sh0002,st0005
15,ro0001,2023-02-16,sh0002,st0012
16,ro0001,2023-02-16,sh0002,st0013
17,ro0001,2023-02-16,sh0002,st0014
18,ro0001,2023-02-16,sh0002,st0016
19,ro0001,2023-02-16,sh0002,st0019
20,ro0001,2023-02-16,sh0002,st0022
21,ro0001,2023-02-16,sh0002,st0026
22,ro0001,2023-02-16,sh0002,st0028
23,ro0001,2023-02-16,sh0002,st0029
24,ro0002,2023-02-17,sh0003,st0003
25,ro0002,2023-02-17,sh0003,st0005
26,ro0002,2023-02-17,sh0003,st0009
27,ro0002,2023-02-17,sh0003,st0012
28,ro0002,2023-02-17,sh0003,st0014
29,ro0002,2023-02-17,sh0003,st0017
30,ro0002,2023-02-17,sh0003,st0021
31,ro0002,2023-02-17,sh0003,st0023
32,ro0002,2023-02-17,sh0003,st0028
33,ro0002,2023-02-17,sh0003,st0029
34,ro0002,2023-02-17,sh0003,st0025
35,ro0002,2023-02-17,sh0003,st0031
36,ro0002,2023-02-17,sh0004,st0001
37,ro0002,2023-02-17,sh0004,st0007
38,ro0002,2023-02-17,sh0004,st0013
39,ro0002,2023-02-17,sh0004,st0010
40,ro0002,2023-02-17,sh0004,st0015
41,ro0002,2023-02-17,sh0004,st0016
42,ro0002,2023-02-17,sh0004,st0024
43,ro0002,2023-02-17,sh0004,st0019
44,ro0002,2023-02-17,sh0004,st0027
45,ro0002,2023-02-17,sh0004,st0030
46,ro0002,2023-02-17,sh0004,st0026
47,ro0003,2023-02-18,sh0005,st0001
48,ro0003,2023-02-18,sh0005,st0007
49,ro0003,2023-02-18,sh0005,st0013
50,ro0003,2023-02-18,sh0005,st0012
51,ro0003,2023-02-18,sh0005,st0017
52,ro0003,2023-02-18,sh0005,st0018
53,ro0003,2023-02-18,sh0005,st0023
54,ro0003,2023-02-18,sh0005,st0024
55,ro0003,2023-02-18,sh0005,st0029
56,ro0003,2023-02-18,sh0005,st0028
57,ro0003,2023-02-18,sh0005,st0025
58,ro0003,2023-02-18,sh0005,st0031
59,ro0003,2023-02-18,sh0006,st0004
60,ro0003,2023-02-18,sh0006,st0005
61,ro0003,2023-02-18,sh0006,st0011
62,ro0003,2023-02-18,sh0006,st0010
63,ro0003,2023-02-18,sh0006,st0015
64,ro0003,2023-02-18,sh0006,st0014
65,ro0003,2023-02-18,sh0006,st0020
66,ro0003,2023-02-18,sh0006,st0019
67,ro0003,2023-02-18,sh0006,st0027
68,ro0003,2023-02-18,sh0006,st0026
69,ro0003,2023-02-18,sh0006,st0030
70,ro0003,2023-02-18,sh0006,st0033
71,ro0004,2023-02-19,sh0007,st0002
72,ro0004,2023-02-19,sh0007,st0008
73,ro0004,2023-02-19,sh0007,st0013
74,ro0004,2023-02-19,sh0007,st0012
75,ro0004,2023-02-19,sh0007,st0018
76,ro0004,2023-02-19,sh0007,st0016
77,ro0004,2023-02-19,sh0007,st0020
78,ro0004,2023-02-19,sh0007,st0023
79,ro0004,2023-02-19,sh0007,st0031
80,ro0004,2023-02-19,sh0008,st0001
81,ro0004,2023-02-19,sh0008,st0005
82,ro0004,2023-02-19,sh0008,st0009
83,ro0004,2023-02-19,sh0008,st0010
84,ro0004,2023-02-19,sh0008,st0022
85,ro0004,2023-02-19,sh0008,st0021
86,ro0005,2023-02-20,sh0009,st0004
87,ro0005,2023-02-20,sh0009,st0006
88,ro0005,2023-02-20,sh0009,st0012
89,ro0005,2023-02-20,sh0009,st0013
90,ro0005,2023-02-20,sh0009,st0017
91,ro0005,2023-02-20,sh0009,st0014
92,ro0005,2023-02-20,sh0009,st0020
93,ro0005,2023-02-20,sh0009,st0023
94,ro0005,2023-02-20,sh0009,st0027
95,ro0005,2023-02-20,sh0009,st0029
96,ro0005,2023-02-20,sh0009,st0028
97,ro0005,2023-02-20,sh0009,st0032
98,ro0005,2023-02-20,sh0010,st0001
99,ro0005,2023-02-20,sh0010,st0005
100,ro0005,2023-02-20,sh0010,st0010
101,ro0005,2023-02-20,sh0010,st0011
102,ro0005,2023-02-20,sh0010,st0018
103,ro0005,2023-02-20,sh0010,st0016
104,ro0005,2023-02-20,sh0010,st0024
105,ro0005,2023-02-20,sh0010,st0022
106,ro0005,2023-02-20,sh0010,st0026
107,ro0005,2023-02-20,sh0010,st0030
108,ro0005,2023-02-20,sh0010,st0025
