shift_id,day_of_week,start_time,end_time
sh0001,Thursday,8:00:00,16:00:00
sh0002,Thursday,16:00:00,0:00:00
sh0003,Friday,8:00:00,16:00:00
sh0004,Friday,16:00:00,0:00:00
sh0005,Saturday,8:00:00,16:00:00
sh0006,Saturday,16:00:00,0:00:00
sh0007,Sunday,8:00:00,16:00:00
sh0008,Sunday,16:00:00,0:00:00
sh0009,Monday,8:00:00,16:00:00
sh0010,Monday,16:00:00,0:00:00
sh0011,Tuesday,8:00:00,16:00:00
sh0012,Tuesday,16:00:00,0:00:00
sh0013,Wednesday,8:00:00,16:00:00
sh0014,Wednesday,16:00:00,0:00:00
