latitude,longitude,postal_fsa,delivery_city,total_sales
43.660585,-79.434851,M6H,Toronto,1824.62
43.717597,-79.587212,M9W,Etobicoke,2528.71
43.664854,-79.436615,M6H,Toronto,1406.11
43.619231,-79.513741,M8Z,Etobicoke,1719.34
43.623713,-79.513383,M8Z,Etobicoke,1930.58
43.660366,-79.430100,M6H,Toronto,2303.30
43.667270,-79.320231,M4L,Toronto,1748.36
43.702438,-79.641356,L4T,Mississauga,2517.24
43.708610,-79.638812,L4T,Mississauga,3052.35
43.648678,-79.395587,M5V,Toronto,2757.47
43.665757,-79.746331,L6Y,Brampton,2239.49
43.803723,-79.321705,M1W,Scarborough,2422.89
43.717823,-79.584994,M9W,Etobicoke,1476.85
43.597607,-79.638682,L5B,Mississauga,1460.77
43.712324,-79.590384,M9W,Etobicoke,1356.00
43.700864,-79.640222,L4T,Mississauga,2280.30
43.710124,-79.584443,M9W,Etobicoke,1931.69
43.631055,-79.493788,M8Y,Etobicoke,1589.82
43.628365,-79.500993,M8Y,Etobicoke,1235.00
43.707552,-79.640114,L4T,Mississauga,1358.96
43.631731,-79.495784,M8Y,Etobicoke,1991.64
43.642011,-79.390455,M5V,Toronto,1991.62
43.662106,-79.743138,L6Y,Brampton,1411.42
43.597585,-79.639887,L5B,Mississauga,2103.70
43.667358,-79.318587,M4L,Toronto,1850.24
43.716718,-79.588565,M9W,Etobicoke,2094.39
43.623702,-79.510959,M8Z,Etobicoke,2381.86
43.702038,-79.642673,L4T,Mississauga,1283.01
43.707426,-79.644731,L4T,Mississauga,2125.54
43.714052,-79.585659,M9W,Etobicoke,1264.14
43.619072,-79.513892,M8Z,Etobicoke,1180.13
43.617970,-79.510913,M8Z,Etobicoke,2458.43
43.666959,-79.745385,L6Y,Brampton,1428.00
43.660846,-79.439672,M6H,Toronto,1122.60
43.626147,-79.511373,M8Z,Etobicoke,2084.64
43.623954,-79.516170,M8Z,Etobicoke,1978.64
43.596062,-79.645256,L5B,Mississauga,2212.83
43.799488,-79.323550,M1W,Scarborough,1784.23
43.669835,-79.317254,M4L,Toronto,2010.97
43.662795,-79.434708,M6H,Toronto,1312.12
43.624394,-79.514862,M8Z,Etobicoke,1596.77
43.798439,-79.318070,M1W,Scarborough,1662.81
43.662362,-79.744018,L6Y,Brampton,952.26
43.630075,-79.501678,M8Y,Etobicoke,2100.92
43.631828,-79.497279,M8Y,Etobicoke,1899.21
43.663097,-79.430856,M6H,Toronto,2018.06
43.642662,-79.392545,M5V,Toronto,982.55
43.712969,-79.586017,M9W,Etobicoke,1955.11
43.717550,-79.592219,M9W,Etobicoke,2571.27
43.665442,-79.740041,L6Y,Brampton,1763.24
43.618340,-79.514883,M8Z,Etobicoke,3103.96
43.633655,-79.500646,M8Y,Etobicoke,1515.30
43.647499,-79.396260,M5V,Toronto,937.62
43.705014,-79.637131,L4T,Mississauga,1113.13
43.643956,-79.391898,M5V,Toronto,2007.06
43.658028,-79.436069,M6H,Toronto,1144.49
43.660956,-79.437207,M6H,Toronto,2164.00
43.707292,-79.641642,L4T,Mississauga,1141.19
43.670961,-79.316160,M4L,Toronto,1859.59
43.645796,-79.392893,M5V,Toronto,1134.56
43.594298,-79.641312,L5B,Mississauga,2172.32
43.646152,-79.393410,M5V,Toronto,1964.21
43.658914,-79.438201,M6H,Toronto,1637.66
43.705189,-79.646000,L4T,Mississauga,1178.05
43.594884,-79.643813,L5B,Mississauga,2610.35
43.622033,-79.510701,M8Z,Etobicoke,2563.17
43.663877,-79.743426,L6Y,Brampton,1911.12
43.667557,-79.318903,M4L,Toronto,3267.55
43.643212,-79.391558,M5V,Toronto,2041.41
43.658592,-79.438557,M6H,Toronto,2118.55
43.656902,-79.433205,M6H,Toronto,1784.22
43.666448,-79.319581,M4L,Toronto,1779.29
43.704107,-79.640676,L4T,Mississauga,2447.33
43.630333,-79.494888,M8Y,Etobicoke,1556.84
43.619035,-79.512161,M8Z,Etobicoke,2145.46
43.661263,-79.430871,M6H,Toronto,2448.50
43.626485,-79.501165,M8Y,Etobicoke,2843.05
43.635448,-79.497542,M8Y,Etobicoke,1750.73
43.801589,-79.316595,M1W,Scarborough,1826.30
43.670484,-79.322481,M4L,Toronto,2316.51
43.797078,-79.315695,M1W,Scarborough,1345.88
43.663417,-79.438796,M6H,Toronto,2834.56
43.663879,-79.741781,L6Y,Brampton,1096.72
43.667127,-79.740717,L6Y,Brampton,1151.55
43.709629,-79.593158,M9W,Etobicoke,2093.42
43.629876,-79.502009,M8Y,Etobicoke,2747.72
43.633588,-79.502383,M8Y,Etobicoke,2102.51
43.670707,-79.320325,M4L,Toronto,2232.93
43.666384,-79.742899,L6Y,Brampton,2365.70
43.662347,-79.439456,M6H,Toronto,1293.55
43.666758,-79.743548,L6Y,Brampton,1594.78
43.672265,-79.323764,M4L,Toronto,1425.50
43.664390,-79.740499,L6Y,Brampton,1864.90
43.798699,-79.321972,M1W,Scarborough,2259.44
43.703290,-79.636953,L4T,Mississauga,2183.30
43.626433,-79.514978,M8Z,Etobicoke,1688.71
43.645137,-79.395420,M5V,Toronto,2454.24
43.709525,-79.591645,M9W,Etobicoke,1862.62
43.661510,-79.432047,M6H,Toronto,1647.20
43.709427,-79.590883,M9W,Etobicoke,2098.50
43.669835,-79.741666,L6Y,Brampton,2198.37
43.707704,-79.639584,L4T,Mississauga,1523.01
43.706967,-79.639709,L4T,Mississauga,1934.18
43.642936,-79.391329,M5V,Toronto,2370.80
43.597264,-79.644851,L5B,Mississauga,1688.88
43.633955,-79.497886,M8Y,Etobicoke,2354.30
43.635405,-79.497399,M8Y,Etobicoke,1848.54
43.665217,-79.319419,M4L,Toronto,2728.11
43.645467,-79.394254,M5V,Toronto,1815.19
43.663902,-79.434719,M6H,Toronto,1781.66
43.704328,-79.641753,L4T,Mississauga,1319.97
43.797013,-79.314795,M1W,Scarborough,2989.90
43.630223,-79.498698,M8Y,Etobicoke,2209.28
43.656532,-79.430782,M6H,Toronto,2184.34
43.644557,-79.391097,M5V,Toronto,2120.42
43.635982,-79.497970,M8Y,Etobicoke,1393.34
43.663813,-79.320346,M4L,Toronto,2496.79
43.591224,-79.638612,L5B,Mississauga,1611.88
43.700935,-79.642960,L4T,Mississauga,1572.96
43.664716,-79.431695,M6H,Toronto,1807.56
43.647473,-79.390556,M5V,Toronto,1540.03
43.632601,-79.493729,M8Y,Etobicoke,924.23
43.656367,-79.431865,M6H,Toronto,2566.28
43.663491,-79.316435,M4L,Toronto,2730.59
43.715900,-79.584673,M9W,Etobicoke,2460.84
43.596309,-79.646354,L5B,Mississauga,1968.08
43.588187,-79.642948,L5B,Mississauga,2190.99
43.708233,-79.643397,L4T,Mississauga,1831.87
43.659855,-79.434245,M6H,Toronto,1984.69
43.655503,-79.432809,M6H,Toronto,1483.33
43.624611,-79.511282,M8Z,Etobicoke,2511.39
43.661494,-79.432255,M6H,Toronto,1130.09
43.709280,-79.589073,M9W,Etobicoke,1654.94
43.631371,-79.496454,M8Y,Etobicoke,2242.99
43.621440,-79.513346,M8Z,Etobicoke,1471.44
43.665024,-79.745478,L6Y,Brampton,1775.70
43.663877,-79.324829,M4L,Toronto,2083.06
43.670066,-79.742379,L6Y,Brampton,2147.88
43.706032,-79.644115,L4T,Mississauga,1425.50
43.668999,-79.321032,M4L,Toronto,2316.42
43.634824,-79.501213,M8Y,Etobicoke,2488.58
43.710344,-79.592353,M9W,Etobicoke,1367.45
43.718010,-79.589491,M9W,Etobicoke,1937.42
43.627921,-79.499173,M8Y,Etobicoke,2652.37
43.620822,-79.510808,M8Z,Etobicoke,2112.88
43.640811,-79.396281,M5V,Toronto,3465.73
43.619607,-79.513662,M8Z,Etobicoke,2515.78
43.656734,-79.431417,M6H,Toronto,1532.06
43.629082,-79.497356,M8Y,Etobicoke,1695.87
43.589803,-79.646556,L5B,Mississauga,1232.99
43.664064,-79.743281,L6Y,Brampton,1699.80
43.716228,-79.590363,M9W,Etobicoke,2884.77
43.594637,-79.642955,L5B,Mississauga,1303.70
43.669643,-79.316129,M4L,Toronto,1521.39
43.633923,-79.498471,M8Y,Etobicoke,1854.85
43.663933,-79.742347,L6Y,Brampton,1852.57
43.635456,-79.501203,M8Y,Etobicoke,1952.02
43.707663,-79.638313,L4T,Mississauga,1892.15
43.631666,-79.502594,M8Y,Etobicoke,1498.35
43.800940,-79.314758,M1W,Scarborough,1876.70
43.648364,-79.393709,M5V,Toronto,2350.35
43.597379,-79.645004,L5B,Mississauga,2905.48
43.715610,-79.585539,M9W,Etobicoke,1665.76
43.712499,-79.592878,M9W,Etobicoke,2539.29
43.628126,-79.495587,M8Y,Etobicoke,2128.69
43.669054,-79.745833,L6Y,Brampton,1628.74
43.663414,-79.431414,M6H,Toronto,1400.35
43.640896,-79.395013,M5V,Toronto,1384.54
43.626535,-79.514034,M8Z,Etobicoke,1651.82
43.662487,-79.744094,L6Y,Brampton,1733.21
43.619550,-79.511154,M8Z,Etobicoke,1544.75
43.662117,-79.740237,L6Y,Brampton,1146.99
43.668204,-79.739583,L6Y,Brampton,1836.05
43.796498,-79.319888,M1W,Scarborough,2454.40
43.663018,-79.743478,L6Y,Brampton,1763.22
43.642133,-79.395930,M5V,Toronto,2091.65
43.715961,-79.588054,M9W,Etobicoke,1555.97
43.671899,-79.322391,M4L,Toronto,1595.07
