latitude,longitude,postal_fsa,delivery_city,fulfilment_type,total_orders
43.588046,-79.642330,L5B,Mississauga,"In-Store Pickup",8
43.588046,-79.642330,L5B,Mississauga,"Home Delivery",10
43.588114,-79.642165,L5B,Mississauga,"In-Store Pickup",9
43.588114,-79.642165,L5B,Mississauga,"Home Delivery",10
43.588187,-79.646867,L5B,Mississauga,"In-Store Pickup",13
43.588187,-79.646867,L5B,Mississauga,"Home Delivery",11
43.588187,-79.642948,L5B,Mississauga,"In-Store Pickup",12
43.588187,-79.642948,L5B,Mississauga,"Home Delivery",9
43.588606,-79.643420,L5B,Mississauga,"In-Store Pickup",8
43.588606,-79.643420,L5B,Mississauga,"Home Delivery",13
43.588721,-79.644980,L5B,Mississauga,"In-Store Pickup",18
43.588721,-79.644980,L5B,Mississauga,"Home Delivery",10
43.588803,-79.646839,L5B,Mississauga,"In-Store Pickup",12
43.588803,-79.646839,L5B,Mississauga,"Home Delivery",9
43.589165,-79.645714,L5B,Mississauga,"In-Store Pickup",11
43.589165,-79.645714,L5B,Mississauga,"Home Delivery",12
43.589381,-79.638255,L5B,Mississauga,"In-Store Pickup",5
43.589381,-79.638255,L5B,Mississauga,"Home Delivery",10
43.589520,-79.638803,L5B,Mississauga,"In-Store Pickup",7
43.589520,-79.638803,L5B,Mississauga,"Home Delivery",11
43.589534,-79.643279,L5B,Mississauga,"In-Store Pickup",15
43.589534,-79.643279,L5B,Mississauga,"Home Delivery",10
43.589586,-79.637931,L5B,Mississauga,"In-Store Pickup",6
43.589586,-79.637931,L5B,Mississauga,"Home Delivery",13
43.589628,-79.642311,L5B,Mississauga,"In-Store Pickup",15
43.589628,-79.642311,L5B,Mississauga,"Home Delivery",12
43.589641,-79.639853,L5B,Mississauga,"In-Store Pickup",13
43.589641,-79.639853,L5B,Mississauga,"Home Delivery",11
43.589695,-79.646469,L5B,Mississauga,"In-Store Pickup",11
43.589695,-79.646469,L5B,Mississauga,"Home Delivery",9
43.589771,-79.645900,L5B,Mississauga,"In-Store Pickup",14
43.589771,-79.645900,L5B,Mississauga,"Home Delivery",7
43.589803,-79.646556,L5B,Mississauga,"In-Store Pickup",7
43.589803,-79.646556,L5B,Mississauga,"Home Delivery",13
43.589850,-79.641597,L5B,Mississauga,"In-Store Pickup",14
43.589850,-79.641597,L5B,Mississauga,"Home Delivery",9
43.589930,-79.644192,L5B,Mississauga,"In-Store Pickup",10
43.589930,-79.644192,L5B,Mississauga,"Home Delivery",7
43.590131,-79.642798,L5B,Mississauga,"In-Store Pickup",8
43.590131,-79.642798,L5B,Mississauga,"Home Delivery",7
43.590333,-79.637224,L5B,Mississauga,"In-Store Pickup",12
43.590333,-79.637224,L5B,Mississauga,"Home Delivery",9
43.590388,-79.646122,L5B,Mississauga,"In-Store Pickup",10
43.590388,-79.646122,L5B,Mississauga,"Home Delivery",11
43.590411,-79.646709,L5B,Mississauga,"In-Store Pickup",13
43.590411,-79.646709,L5B,Mississauga,"Home Delivery",7
43.590422,-79.640496,L5B,Mississauga,"In-Store Pickup",10
43.590422,-79.640496,L5B,Mississauga,"Home Delivery",13
43.590559,-79.640883,L5B,Mississauga,"In-Store Pickup",15
43.590559,-79.640883,L5B,Mississauga,"Home Delivery",17
43.590766,-79.641401,L5B,Mississauga,"In-Store Pickup",8
43.590766,-79.641401,L5B,Mississauga,"Home Delivery",12
