item_id,sku,ing_id,total_quantity_consumed
it001,FLA-MED-REG,ing001,1077000
it001,FLA-MED-REG,ing002,215400
it001,FLA-MED-REG,ing003,344640
it001,FLA-MED-REG,ing004,172320
it001,FLA-MED-REG,ing005,129240
it002,FLA-MED-LAR,ing001,1633125
it002,FLA-MED-LAR,ing002,326625
it002,FLA-MED-LAR,ing003,522600
it002,FLA-MED-LAR,ing004,261300
it002,FLA-MED-LAR,ing005,195975
it003,FLA-SPI-REG,ing001,1034750
it003,FLA-SPI-REG,ing006,413900
it003,FLA-SPI-REG,ing007,124170
it003,FLA-SPI-REG,ing008,331120
it003,FLA-SPI-REG,ing009,82780
it004,FLA-SPI-LAR,ing001,1597500
it004,FLA-SPI-LAR,ing006,639000
it004,FLA-SPI-LAR,ing007,191700
it004,FLA-SPI-LAR,ing008,511200
it004,FLA-SPI-LAR,ing009,127800
it005,FLA-FOR-REG,ing001,1073750
it005,FLA-FOR-REG,ing010,343600
it005,FLA-FOR-REG,ing011,64425
it005,FLA-FOR-REG,ing012,343600
it005,FLA-FOR-REG,ing013,171800
it006,FLA-FOR-LAR,ing001,1678125
it006,FLA-FOR-LAR,ing010,537000
it006,FLA-FOR-LAR,ing011,111875
it006,FLA-FOR-LAR,ing012,537000
it006,FLA-FOR-LAR,ing013,268500
it007,FLA-BRO-REG,ing001,1126750
it007,FLA-BRO-REG,ing014,450700
it007,FLA-BRO-REG,ing015,90140
it007,FLA-BRO-REG,ing016,180280
it007,FLA-BRO-REG,ing017,22535
it008,FLA-BRO-LAR,ing001,1630875
it008,FLA-BRO-LAR,ing014,652350
it008,FLA-BRO-LAR,ing015,130470
it008,FLA-BRO-LAR,ing016,260940
it008,FLA-BRO-LAR,ing017,34792
it009,SIG-NOR-REG,ing018,433800
it009,SIG-NOR-REG,ing019,260280
it009,SIG-NOR-REG,ing020,43380
it009,SIG-NOR-REG,ing021,108450
it010,SIG-NOR-LAR,ing018,656250
it010,SIG-NOR-LAR,ing019,393750
it010,SIG-NOR-LAR,ing020,65625
it010,SIG-NOR-LAR,ing021,175000
it011,SIG-TEX-REG,ing016,170000
it011,SIG-TEX-REG,ing022,425000
it011,SIG-TEX-REG,ing023,340000
it011,SIG-TEX-REG,ing024,85000
it012,SIG-TEX-LAR,ing016,259980
it012,SIG-TEX-LAR,ing022,649950
it012,SIG-TEX-LAR,ing023,519960
it012,SIG-TEX-LAR,ing024,129990
it013,SIG-TAN-REG,ing016,168080
it013,SIG-TAN-REG,ing025,420200
it013,SIG-TAN-REG,ing026,84040
it013,SIG-TAN-REG,ing027,42020
it014,SIG-TAN-LAR,ing016,261300
it014,SIG-TAN-LAR,ing025,653250
it014,SIG-TAN-LAR,ing026,130650
it014,SIG-TAN-LAR,ing027,65325
it015,SIG-TRO-REG,ing007,110625
it015,SIG-TRO-REG,ing012,354000
it015,SIG-TRO-REG,ing028,265500
it015,SIG-TRO-REG,ing029,442500
it016,SIG-TRO-LAR,ing007,169960
it016,SIG-TRO-LAR,ing012,509880
it016,SIG-TRO-LAR,ing028,382410
it016,SIG-TRO-LAR,ing029,637350
it017,SID-TRU-REG,ing011,42740
it017,SID-TRU-REG,ing030,1068500
it017,SID-TRU-REG,ing031,42740
it018,SID-CAU-REG,ing032,852800
it018,SID-CAU-REG,ing033,63960
it018,SID-CAU-REG,ing034,63960
it019,SID-GAR-REG,ing023,84880
it019,SID-GAR-REG,ing035,636600
it020,SID-SUP-REG,ing036,207650
it020,SID-SUP-REG,ing037,124590
it020,SID-SUP-REG,ing038,166120
it020,SID-SUP-REG,ing039,41530
it021,DES-SAL-REG,ing040,259200
it021,DES-SAL-REG,ing041,86400
it022,DES-ESP-REG,ing042,420200
it022,DES-ESP-REG,ing043,63030
it023,DES-BER-REG,ing044,318800
it023,DES-BER-REG,ing045,159400
it024,DES-MAN-REG,ing046,506880
it025,BEV-COL-33,ing047,1390620
it026,BEV-COL-1500,ing048,6541500
it027,BEV-GIN-33,ing049,1398540
it028,BEV-GIN-1500,ing050,6787500
it029,BEV-LIM-33,ing051,1431540
it030,BEV-LIM-1500,ing052,6322500
it031,BEV-BER-33,ing053,1461900
it032,BEV-BER-1500,ing054,6616500
