item_id,ing_id,quantity_value,ing_weight,ing_price,consumed_weight,package_cost,procurement_demand_cost
it001,ing001,250,2000,5,1077000,0.0025,2695
it001,ing002,50,1500,5,215400,0.0033,720
it001,ing003,80,1000,10,344640,0.0100,3450
it001,ing004,40,1000,3,172320,0.0030,519
it001,ing005,30,1000,5,129240,0.0050,650
it002,ing001,375,2000,5,1633125,0.0025,4085
it002,ing002,75,1500,5,326625,0.0033,1090
it002,ing003,120,1000,10,522600,0.0100,5230
it002,ing004,60,1000,3,261300,0.0030,786
it002,ing005,45,1000,5,195975,0.0050,980
it003,ing001,250,2000,5,1034750,0.0025,2590
it003,ing006,100,1500,12,413900,0.0080,3312
it003,ing007,30,500,3,124170,0.0060,747
it003,ing008,80,1200,10,331120,0.0083,2760
it003,ing009,20,500,4,82780,0.0080,664
it004,ing001,375,2000,5,1597500,0.0025,3995
it004,ing006,150,1500,12,639000,0.0080,5112
it004,ing007,45,500,3,191700,0.0060,1152
it004,ing008,120,1200,10,511200,0.0083,4260
it004,ing009,30,500,4,127800,0.0080,1024
it005,ing001,250,2000,5,1073750,0.0025,2685
it005,ing010,80,800,7,343600,0.0088,3010
it005,ing011,15,200,9,64425,0.0450,2907
it005,ing012,80,2500,14,343600,0.0056,1932
it005,ing013,40,1000,4,171800,0.0040,688
it006,ing001,375,2000,5,1678125,0.0025,4200
it006,ing010,120,800,7,537000,0.0088,4704
it006,ing011,25,200,9,111875,0.0450,5040
it006,ing012,120,2500,14,537000,0.0056,3010
it006,ing013,60,1000,4,268500,0.0040,1076
it007,ing001,250,2000,5,1126750,0.0025,2820
it007,ing014,100,1000,12,450700,0.0120,5412
it007,ing015,20,500,4,90140,0.0080,724
it007,ing016,40,1000,3,180280,0.0030,543
it007,ing017,5,200,3,22535,0.0150,339
it008,ing001,375,2000,5,1630875,0.0025,4080
it008,ing014,150,1000,12,652350,0.0120,7836
it008,ing015,30,500,4,130470,0.0080,1044
it008,ing016,60,1000,3,260940,0.0030,783
it008,ing017,8,200,3,34792,0.0150,522
it009,ing018,100,500,16,433800,0.0320,13888
it009,ing019,60,800,7,260280,0.0088,2282
it009,ing020,10,400,4,43380,0.0100,436
it009,ing021,25,1000,4,108450,0.0040,436
it010,ing018,150,500,16,656250,0.0320,21008
it010,ing019,90,800,7,393750,0.0088,3451
it010,ing020,15,400,4,65625,0.0100,660
it010,ing021,40,1000,4,175000,0.0040,700
it011,ing016,40,1000,3,170000,0.0030,510
it011,ing022,100,1000,14,425000,0.0140,5950
it011,ing023,80,1200,8,340000,0.0067,2272
it011,ing024,20,500,20,85000,0.0400,3400
it012,ing016,60,1000,3,259980,0.0030,780
it012,ing022,150,1000,14,649950,0.0140,9100
it012,ing023,120,1200,8,519960,0.0067,3472
it012,ing024,30,500,20,129990,0.0400,5200
it013,ing016,40,1000,3,168080,0.0030,507
it013,ing025,100,1200,11,420200,0.0092,3861
it013,ing026,20,500,4,84040,0.0080,676
it013,ing027,10,300,2,42020,0.0067,282
it014,ing016,60,1000,3,261300,0.0030,786
it014,ing025,150,1200,11,653250,0.0092,5995
it014,ing026,30,500,4,130650,0.0080,1048
it014,ing027,15,300,2,65325,0.0067,436
it015,ing007,25,500,3,110625,0.0060,666
it015,ing012,80,2500,14,354000,0.0056,1988
it015,ing028,60,1000,7,265500,0.0070,1862
it015,ing029,100,1000,10,442500,0.0100,4430
it016,ing007,40,500,3,169960,0.0060,1020
it016,ing012,120,2500,14,509880,0.0056,2856
it016,ing028,90,1000,7,382410,0.0070,2681
it016,ing029,150,1000,10,637350,0.0100,6380
it017,ing011,10,200,9,42740,0.0450,1926
it017,ing030,250,1500,7,1068500,0.0047,4991
it017,ing031,10,250,11,42740,0.0440,1881
it018,ing032,200,1500,5,852800,0.0033,2845
it018,ing033,15,300,3,63960,0.0100,642
it018,ing034,15,425,5,63960,0.0118,755
it019,ing023,20,1200,8,84880,0.0067,568
it019,ing035,150,1000,5,636600,0.0050,3185
it020,ing036,50,800,4,207650,0.0050,1040
it020,ing037,30,227,3,124590,0.0132,1647
it020,ing038,40,1000,8,166120,0.0080,1336
it020,ing039,10,300,4,41530,0.0133,556
it021,ing040,60,500,5,259200,0.0100,2595
it021,ing041,20,700,5,86400,0.0071,620
it022,ing042,100,1000,6,420200,0.0060,2526
it022,ing043,15,750,12,63030,0.0160,1020
it023,ing044,80,1000,5,318800,0.0050,1595
it023,ing045,40,600,4,159400,0.0067,1064
it024,ing046,120,1000,4,506880,0.0040,2028
it025,ing047,330,330,2,1390620,0.0061,8428
it026,ing048,1500,1500,4,6541500,0.0027,17444
it027,ing049,330,330,2,1398540,0.0061,8476
it028,ing050,1500,1500,4,6787500,0.0027,18100
it029,ing051,330,330,2,1431540,0.0061,8676
it030,ing052,1500,1500,4,6322500,0.0027,16860
it031,ing053,330,330,2,1461900,0.0061,8860
it032,ing054,1500,1500,5,6616500,0.0033,22055
