snapshot_date,ing_id,ing_name,percentage_stock_remaining,stock_utilization_rate
2023-02-16,ing001,"Flatbread Dough (8-pack)",89.47,10.53
2023-02-16,ing002,"Roasted Red Peppers",100.00,0.00
2023-02-16,ing003,"Goat Cheese",93.33,6.67
2023-02-16,ing004,"Black Olives",100.00,0.00
2023-02-16,ing005,"Sun-Dried Tomatoes",100.00,0.00
2023-02-16,ing006,"Spicy Chicken",91.67,8.33
2023-02-16,ing007,Jalapenos,92.00,8.00
2023-02-16,ing008,"Smoked Gouda",92.86,7.14
2023-02-16,ing009,"Chipotle Sauce",100.00,0.00
2023-02-16,ing010,"Wild Mushrooms",94.44,5.56
2023-02-16,ing011,"Truffle Oil",87.50,12.50
2023-02-16,ing012,Mozzarella,95.83,4.17
2023-02-16,ing013,"Fresh Spinach",100.00,0.00
2023-02-16,ing014,"Italian Sausage",92.31,7.69
2023-02-16,ing015,"Roasted Garlic",100.00,0.00
2023-02-16,ing016,"Red Onion",96.15,3.85
2023-02-16,ing017,"Fresh Basil",100.00,0.00
2023-02-16,ing018,"Smoked Salmon",55.56,44.44
2023-02-16,ing019,"Dill Cream Cheese",85.71,14.29
2023-02-16,ing020,Capers,90.91,9.09
2023-02-16,ing021,Arugula,94.12,5.88
2023-02-16,ing022,"BBQ Brisket",90.91,9.09
2023-02-16,ing023,"Cheddar Cheese",93.75,6.25
2023-02-16,ing024,"BBQ Sauce",100.00,0.00
2023-02-16,ing025,"Tandoori Chicken",100.00,0.00
2023-02-16,ing026,"Mint Yogurt",100.00,0.00
2023-02-16,ing027,"Green Chilli",100.00,0.00
2023-02-16,ing028,"Grilled Pineapple",84.62,15.38
2023-02-16,ing029,"Pulled Pork",70.00,30.00
2023-02-16,ing030,"Truffle Fries",96.15,3.85
2023-02-16,ing031,Parmesan,100.00,0.00
2023-02-16,ing032,"Cauliflower Florets",95.45,4.55
2023-02-16,ing033,"Buffalo Sauce",100.00,0.00
2023-02-16,ing034,Ranch,100.00,0.00
2023-02-16,ing035,"Garlic Knots",100.00,0.00
2023-02-16,ing036,Kale,100.00,0.00
2023-02-16,ing037,Spinach,94.74,5.26
2023-02-16,ing038,Avocado,100.00,0.00
2023-02-16,ing039,"Mixed Seeds",100.00,0.00
2023-02-16,ing040,"Caramel Filling",93.75,6.25
2023-02-16,ing041,"Chocolate Syrup",100.00,0.00
2023-02-16,ing042,"Espresso Panna Base",100.00,0.00
2023-02-16,ing043,"Vanilla Syrup",100.00,0.00
2023-02-16,ing044,"Berry Mix",100.00,0.00
2023-02-16,ing045,"Oat Crumble",100.00,0.00
2023-02-16,ing046,"Mango Sticky Rice Mix",95.00,5.00
2023-02-16,ing047,"Cold Brew Coffee",88.00,12.00
2023-02-16,ing048,"Cold Brew Coffee 1.5L",97.92,2.08
2023-02-16,ing050,"Ginger Fizz 1.5L",90.91,9.09
2023-02-16,ing051,"Lime Mint Sparkle 33cl",96.25,3.75
2023-02-16,ing052,"Lime Mint Sparkle 1.5L",85.19,14.81
2023-02-16,ing053,"Berry Kombucha 33cl",96.15,3.85
2023-02-17,ing001,"Flatbread Dough (8-pack)",76.32,13.16
2023-02-17,ing002,"Roasted Red Peppers",100.00,0.00
2023-02-17,ing003,"Goat Cheese",86.67,6.67
2023-02-17,ing004,"Black Olives",100.00,0.00
2023-02-17,ing005,"Sun-Dried Tomatoes",100.00,0.00
2023-02-17,ing006,"Spicy Chicken",83.33,8.33
2023-02-17,ing007,Jalapenos,84.00,8.00
2023-02-17,ing008,"Smoked Gouda",85.71,7.14
2023-02-17,ing009,"Chipotle Sauce",100.00,0.00
2023-02-17,ing010,"Wild Mushrooms",88.89,5.56
2023-02-17,ing011,"Truffle Oil",75.00,12.50
2023-02-17,ing012,Mozzarella,91.67,4.17
2023-02-17,ing013,"Fresh Spinach",94.12,5.88
2023-02-17,ing014,"Italian Sausage",84.62,7.69
2023-02-17,ing015,"Roasted Garlic",100.00,0.00
2023-02-17,ing016,"Red Onion",92.31,3.85
2023-02-17,ing017,"Fresh Basil",100.00,0.00
2023-02-17,ing018,"Smoked Salmon",44.44,11.11
2023-02-17,ing019,"Dill Cream Cheese",85.71,0.00
2023-02-17,ing020,Capers,90.91,0.00
2023-02-17,ing021,Arugula,94.12,0.00
2023-02-17,ing022,"BBQ Brisket",90.91,0.00
2023-02-17,ing023,"Cheddar Cheese",93.75,0.00
2023-02-17,ing024,"BBQ Sauce",100.00,0.00
2023-02-17,ing025,"Tandoori Chicken",91.67,8.33
2023-02-17,ing026,"Mint Yogurt",100.00,0.00
2023-02-17,ing027,"Green Chilli",100.00,0.00
2023-02-17,ing028,"Grilled Pineapple",76.92,7.69
2023-02-17,ing029,"Pulled Pork",50.00,20.00
2023-02-17,ing030,"Truffle Fries",96.15,0.00
2023-02-17,ing031,Parmesan,100.00,0.00
2023-02-17,ing032,"Cauliflower Florets",90.91,4.55
2023-02-17,ing033,"Buffalo Sauce",100.00,0.00
2023-02-17,ing034,Ranch,100.00,0.00
2023-02-17,ing035,"Garlic Knots",100.00,0.00
2023-02-17,ing036,Kale,100.00,0.00
2023-02-17,ing037,Spinach,94.74,0.00
2023-02-17,ing038,Avocado,100.00,0.00
2023-02-17,ing039,"Mixed Seeds",100.00,0.00
2023-02-17,ing040,"Caramel Filling",87.50,6.25
2023-02-17,ing041,"Chocolate Syrup",100.00,0.00
2023-02-17,ing044,"Berry Mix",100.00,0.00
2023-02-17,ing045,"Oat Crumble",100.00,0.00
2023-02-17,ing047,"Cold Brew Coffee",84.00,4.00
2023-02-17,ing048,"Cold Brew Coffee 1.5L",85.42,12.50
2023-02-17,ing049,"Ginger Fizz 33cl",97.56,2.44
2023-02-17,ing050,"Ginger Fizz 1.5L",83.64,7.27
2023-02-17,ing051,"Lime Mint Sparkle 33cl",92.50,3.75
2023-02-17,ing052,"Lime Mint Sparkle 1.5L",74.07,11.11
2023-02-17,ing053,"Berry Kombucha 33cl",89.74,6.41
2023-02-17,ing054,"Berry Kombucha 1.5L",88.46,11.54
2023-02-18,ing001,"Flatbread Dough (8-pack)",63.16,13.16
2023-02-18,ing002,"Roasted Red Peppers",100.00,0.00
2023-02-18,ing003,"Goat Cheese",80.00,6.67
2023-02-18,ing004,"Black Olives",100.00,0.00
2023-02-18,ing005,"Sun-Dried Tomatoes",100.00,0.00
2023-02-18,ing006,"Spicy Chicken",83.33,0.00
2023-02-18,ing007,Jalapenos,80.00,4.00
2023-02-18,ing008,"Smoked Gouda",85.71,0.00
2023-02-18,ing009,"Chipotle Sauce",100.00,0.00
2023-02-18,ing010,"Wild Mushrooms",83.33,5.56
2023-02-18,ing011,"Truffle Oil",62.50,12.50
2023-02-18,ing012,Mozzarella,87.50,4.17
2023-02-18,ing013,"Fresh Spinach",94.12,0.00
2023-02-18,ing014,"Italian Sausage",69.23,15.38
2023-02-18,ing015,"Roasted Garlic",94.74,5.26
2023-02-18,ing016,"Red Onion",84.62,7.69
2023-02-18,ing017,"Fresh Basil",90.00,10.00
2023-02-18,ing018,"Smoked Salmon",22.22,22.22
