snapshot_date,ing_id,consumed_packages,cumulative_consumption_flow
2023-02-16,ing001,4,4
2023-02-17,ing001,5,9
2023-02-18,ing001,5,14
2023-02-19,ing001,6,20
2023-02-20,ing001,6,26
2023-02-21,ing001,7,33
2023-02-22,ing001,5,38
2023-02-23,ing001,8,46
2023-02-24,ing001,6,52
2023-02-25,ing001,5,57
2023-02-26,ing001,6,63
2023-02-27,ing001,4,67
2023-02-28,ing001,7,74
2023-03-01,ing001,4,4
2023-03-02,ing001,8,12
2023-03-03,ing001,5,17
2023-03-04,ing001,9,26
2023-03-05,ing001,6,32
2023-03-06,ing001,5,37
2023-03-07,ing001,4,41
2023-03-08,ing001,6,47
2023-03-09,ing001,5,52
2023-03-10,ing001,7,59
2023-03-11,ing001,9,68
2023-03-12,ing001,6,74
2023-03-13,ing001,5,79
2023-03-14,ing001,7,86
2023-03-15,ing001,7,93
2023-03-16,ing001,6,99
2023-03-17,ing001,3,102
2023-03-18,ing001,6,108
2023-03-19,ing001,2,110
2023-03-20,ing001,4,114
2023-03-21,ing001,6,120
2023-03-22,ing001,7,127
2023-03-23,ing001,8,135
2023-03-24,ing001,3,138
2023-03-25,ing001,6,144
2023-03-26,ing001,8,152
2023-03-27,ing001,5,157
2023-03-28,ing001,7,164
2023-03-29,ing001,7,171
2023-03-30,ing001,4,175
2023-03-31,ing001,7,182
2023-04-01,ing001,3,3
2023-04-02,ing001,5,8
2023-04-03,ing001,8,16
2023-04-04,ing001,8,24
2023-04-05,ing001,8,32
2023-04-06,ing001,8,40
2023-04-07,ing001,7,47
2023-04-08,ing001,5,52
2023-04-09,ing001,6,58
2023-04-10,ing001,7,65
2023-04-11,ing001,7,72
2023-04-12,ing001,5,77
2023-04-13,ing001,4,81
2023-04-14,ing001,5,86
2023-04-15,ing001,8,94
2023-04-16,ing001,4,98
2023-04-17,ing001,7,105
2023-04-18,ing001,6,111
2023-04-19,ing001,3,114
2023-04-20,ing001,5,119
2023-04-21,ing001,5,124
2023-04-22,ing001,4,128
2023-04-23,ing001,6,134
2023-04-24,ing001,7,141
2023-04-25,ing001,5,146
2023-04-26,ing001,6,152
2023-04-27,ing001,5,157
2023-04-28,ing001,5,162
2023-04-29,ing001,5,167
2023-04-30,ing001,3,170
2023-05-01,ing001,8,8
2023-05-02,ing001,3,11
2023-05-03,ing001,8,19
2023-05-04,ing001,6,25
2023-05-05,ing001,6,31
2023-05-06,ing001,3,34
2023-05-07,ing001,8,42
2023-05-08,ing001,3,45
2023-05-09,ing001,6,51
2023-05-10,ing001,3,54
2023-05-11,ing001,6,60
2023-05-12,ing001,5,65
2023-05-13,ing001,5,70
2023-05-14,ing001,6,76
2023-05-15,ing001,5,81
2023-05-16,ing001,5,86
2023-05-17,ing001,3,89
2023-05-18,ing001,3,92
2023-05-19,ing001,5,97
2023-05-20,ing001,5,102
2023-05-21,ing001,6,108
2023-05-22,ing001,3,111
2023-05-23,ing001,3,114
2023-05-24,ing001,6,120
2023-05-25,ing001,5,125
2023-05-26,ing001,7,132
2023-05-27,ing001,4,136
2023-05-28,ing001,6,142
2023-05-29,ing001,6,148
2023-05-30,ing001,3,151
2023-05-31,ing001,7,158
2023-06-01,ing001,5,5
2023-06-02,ing001,5,10
2023-06-03,ing001,5,15
2023-06-04,ing001,8,23
2023-06-05,ing001,7,30
2023-06-06,ing001,3,33
2023-06-07,ing001,8,41
2023-06-08,ing001,5,46
2023-06-09,ing001,5,51
2023-06-10,ing001,8,59
2023-06-11,ing001,3,62
2023-06-12,ing001,9,71
2023-06-13,ing001,5,76
2023-06-14,ing001,5,81
2023-06-15,ing001,5,86
2023-06-16,ing001,6,92
2023-06-17,ing001,5,97
2023-06-18,ing001,5,102
2023-06-19,ing001,5,107
2023-06-20,ing001,3,110
2023-06-21,ing001,5,115
2023-06-22,ing001,7,122
2023-06-23,ing001,6,128
2023-06-24,ing001,6,134
2023-06-25,ing001,7,141
2023-06-26,ing001,8,149
2023-06-27,ing001,4,153
2023-06-28,ing001,5,158
2023-06-29,ing001,5,163
2023-06-30,ing001,8,171
2023-07-01,ing001,4,4
2023-07-02,ing001,6,10
2023-07-03,ing001,4,14
2023-07-04,ing001,5,19
2023-07-05,ing001,4,23
2023-07-06,ing001,4,27
2023-07-07,ing001,6,33
2023-07-08,ing001,5,38
2023-07-09,ing001,9,47
2023-07-10,ing001,5,52
2023-07-11,ing001,10,62
2023-07-12,ing001,5,67
2023-07-13,ing001,8,75
2023-07-14,ing001,6,81
2023-07-15,ing001,5,86
2023-07-16,ing001,7,93
2023-07-17,ing001,5,98
2023-07-18,ing001,5,103
2023-07-19,ing001,5,108
2023-07-20,ing001,7,115
2023-07-21,ing001,7,122
2023-07-22,ing001,6,128
2023-07-23,ing001,6,134
2023-07-24,ing001,5,139
2023-07-25,ing001,8,147
2023-07-26,ing001,5,152
2023-07-27,ing001,4,156
2023-07-28,ing001,4,160
