snapshot_date,ing_id,closing_stock,pending_order,stock_percent_between60_80
2025-10-19,ing001,20,Y,"Don't check for Reorder"
2025-10-20,ing001,17,Y,"Don't check for Reorder"
2025-10-21,ing001,13,Y,"Don't check for Reorder"
2025-10-22,ing001,7,Y,"Don't check for Reorder"
2025-10-23,ing001,19,N,"Don't check for Reorder"
2025-10-24,ing001,13,Y,"Don't check for Reorder"
2025-10-25,ing001,9,Y,"Don't check for Reorder"
2025-10-19,ing002,18,N,"Don't check for Reorder"
2025-10-20,ing002,18,N,"Don't check for Reorder"
2025-10-21,ing002,18,N,"Don't check for Reorder"
2025-10-22,ing002,17,N,"CHECK for reorder"
2025-10-23,ing002,17,N,"Don't check for Reorder"
2025-10-24,ing002,17,N,"Don't check for Reorder"
2025-10-25,ing002,17,N,"Don't check for Reorder"
2025-10-19,ing003,14,N,"Don't check for Reorder"
2025-10-20,ing003,13,N,"Don't check for Reorder"
2025-10-21,ing003,12,N,"CHECK for reorder"
2025-10-22,ing003,10,N,"CHECK for reorder"
2025-10-23,ing003,10,N,"Don't check for Reorder"
2025-10-24,ing003,9,N,"CHECK for reorder"
2025-10-25,ing003,8,Y,"Don't check for Reorder"
2025-10-19,ing004,20,N,"Don't check for Reorder"
2025-10-20,ing004,20,N,"Don't check for Reorder"
2025-10-21,ing004,20,N,"Don't check for Reorder"
2025-10-22,ing004,19,N,"CHECK for reorder"
2025-10-23,ing004,19,N,"Don't check for Reorder"
2025-10-24,ing004,19,N,"Don't check for Reorder"
2025-10-25,ing004,19,N,"Don't check for Reorder"
2025-10-19,ing005,17,N,"Don't check for Reorder"
2025-10-20,ing005,17,N,"Don't check for Reorder"
2025-10-21,ing005,17,N,"Don't check for Reorder"
2025-10-22,ing005,16,N,"Don't check for Reorder"
2025-10-23,ing005,16,N,"Don't check for Reorder"
2025-10-24,ing005,16,N,"Don't check for Reorder"
2025-10-25,ing005,16,N,"Don't check for Reorder"
2025-10-19,ing006,10,N,"Don't check for Reorder"
2025-10-20,ing006,10,N,"Don't check for Reorder"
2025-10-22,ing006,10,N,"Don't check for Reorder"
2025-10-23,ing006,10,N,"Don't check for Reorder"
2025-10-24,ing006,10,N,"Don't check for Reorder"
2025-10-25,ing006,10,N,"Don't check for Reorder"
2025-10-19,ing007,10,Y,"Don't check for Reorder"
2025-10-20,ing007,10,Y,"Don't check for Reorder"
2025-10-21,ing007,19,N,"Don't check for Reorder"
2025-10-22,ing007,18,N,"CHECK for reorder"
2025-10-23,ing007,18,N,"Don't check for Reorder"
2025-10-24,ing007,18,N,"Don't check for Reorder"
2025-10-25,ing007,17,N,"CHECK for reorder"
2025-10-19,ing008,8,N,"Don't check for Reorder"
2025-10-20,ing008,8,Y,"Don't check for Reorder"
2025-10-22,ing008,14,N,"Don't check for Reorder"
2025-10-23,ing008,14,N,"Don't check for Reorder"
2025-10-24,ing008,14,N,"Don't check for Reorder"
2025-10-25,ing008,14,N,"Don't check for Reorder"
2025-10-19,ing009,13,N,"Don't check for Reorder"
2025-10-20,ing009,13,N,"Don't check for Reorder"
2025-10-22,ing009,13,N,"Don't check for Reorder"
2025-10-23,ing009,13,N,"Don't check for Reorder"
2025-10-24,ing009,13,N,"Don't check for Reorder"
2025-10-25,ing009,13,N,"Don't check for Reorder"
2025-10-19,ing010,5,Y,"Don't check for Reorder"
2025-10-20,ing010,4,Y,"Don't check for Reorder"
2025-10-21,ing010,3,Y,"Don't check for Reorder"
2025-10-22,ing010,2,Y,"Don't check for Reorder"
2025-10-23,ing010,9,N,"Don't check for Reorder"
2025-10-24,ing010,7,Y,"Don't check for Reorder"
2025-10-25,ing010,6,Y,"Don't check for Reorder"
2025-10-19,ing011,5,N,"Don't check for Reorder"
2025-10-20,ing011,4,Y,"Don't check for Reorder"
2025-10-21,ing011,5,N,"Don't check for Reorder"
2025-10-22,ing011,4,Y,"Don't check for Reorder"
2025-10-23,ing011,6,N,"Don't check for Reorder"
2025-10-24,ing011,4,N,"Don't check for Reorder"
2025-10-25,ing011,3,Y,"Don't check for Reorder"
2025-10-19,ing012,16,N,"CHECK for reorder"
2025-10-20,ing012,15,N,"CHECK for reorder"
2025-10-21,ing012,13,N,"Don't check for Reorder"
2025-10-22,ing012,12,Y,"Don't check for Reorder"
2025-10-23,ing012,12,Y,"Don't check for Reorder"
2025-10-24,ing012,22,N,"Don't check for Reorder"
2025-10-25,ing012,21,N,"Don't check for Reorder"
2025-10-19,ing013,13,N,"Don't check for Reorder"
2025-10-20,ing013,13,N,"Don't check for Reorder"
2025-10-21,ing013,12,N,"CHECK for reorder"
2025-10-22,ing013,12,N,"Don't check for Reorder"
2025-10-23,ing013,12,N,"Don't check for Reorder"
2025-10-24,ing013,11,N,"CHECK for reorder"
2025-10-25,ing013,11,N,"Don't check for Reorder"
2025-10-19,ing014,12,N,"Don't check for Reorder"
2025-10-20,ing014,11,N,"Don't check for Reorder"
2025-10-21,ing014,10,N,"CHECK for reorder"
2025-10-22,ing014,9,N,"CHECK for reorder"
2025-10-23,ing014,8,N,"CHECK for reorder"
2025-10-24,ing014,7,Y,"Don't check for Reorder"
2025-10-25,ing014,11,N,"Don't check for Reorder"
2025-10-19,ing015,18,N,"Don't check for Reorder"
2025-10-20,ing015,18,N,"Don't check for Reorder"
2025-10-21,ing015,18,N,"Don't check for Reorder"
2025-10-22,ing015,18,N,"Don't check for Reorder"
2025-10-23,ing015,18,N,"Don't check for Reorder"
2025-10-24,ing015,18,N,"Don't check for Reorder"
2025-10-25,ing015,18,N,"Don't check for Reorder"
2025-10-19,ing016,20,N,"Don't check for Reorder"
2025-10-20,ing016,19,N,"CHECK for reorder"
2025-10-21,ing016,18,N,"CHECK for reorder"
2025-10-22,ing016,17,N,"CHECK for reorder"
2025-10-23,ing016,15,N,"Don't check for Reorder"
2025-10-24,ing016,14,Y,"Don't check for Reorder"
2025-10-25,ing016,12,Y,"Don't check for Reorder"
2025-10-19,ing017,9,N,"Don't check for Reorder"
2025-10-20,ing017,9,N,"Don't check for Reorder"
2025-10-21,ing017,9,N,"Don't check for Reorder"
2025-10-22,ing017,9,N,"Don't check for Reorder"
2025-10-23,ing017,9,N,"Don't check for Reorder"
2025-10-24,ing017,9,N,"Don't check for Reorder"
2025-10-25,ing017,9,N,"Don't check for Reorder"
2025-10-19,ing018,-9,Y,"Don't check for Reorder"
2025-10-20,ing018,2,N,"Don't check for Reorder"
2025-10-21,ing018,1,Y,"Don't check for Reorder"
2025-10-22,ing018,0,Y,"Don't check for Reorder"
2025-10-23,ing018,-2,Y,"Don't check for Reorder"
2025-10-24,ing018,3,N,"Don't check for Reorder"
2025-10-25,ing018,-2,Y,"Don't check for Reorder"
