year-month,ing_id,ing_name,days_below_threshold
2023-02,ing001,"Flatbread Dough (8-pack)",9
2023-03,ing001,"Flatbread Dough (8-pack)",29
2023-04,ing001,"Flatbread Dough (8-pack)",29
2023-05,ing001,"Flatbread Dough (8-pack)",26
2023-06,ing001,"Flatbread Dough (8-pack)",29
2023-07,ing001,"Flatbread Dough (8-pack)",29
2023-08,ing001,"Flatbread Dough (8-pack)",28
2023-09,ing001,"Flatbread Dough (8-pack)",25
2023-10,ing001,"Flatbread Dough (8-pack)",24
2023-11,ing001,"Flatbread Dough (8-pack)",21
2023-12,ing001,"Flatbread Dough (8-pack)",30
2024-01,ing001,"Flatbread Dough (8-pack)",26
2024-02,ing001,"Flatbread Dough (8-pack)",28
2024-03,ing001,"Flatbread Dough (8-pack)",29
2024-04,ing001,"Flatbread Dough (8-pack)",24
2024-05,ing001,"Flatbread Dough (8-pack)",29
2024-06,ing001,"Flatbread Dough (8-pack)",27
2024-07,ing001,"Flatbread Dough (8-pack)",30
2024-08,ing001,"Flatbread Dough (8-pack)",27
2024-09,ing001,"Flatbread Dough (8-pack)",23
2024-10,ing001,"Flatbread Dough (8-pack)",27
2024-11,ing001,"Flatbread Dough (8-pack)",25
2024-12,ing001,"Flatbread Dough (8-pack)",30
2025-01,ing001,"Flatbread Dough (8-pack)",31
2025-02,ing001,"Flatbread Dough (8-pack)",25
2025-03,ing001,"Flatbread Dough (8-pack)",26
2025-04,ing001,"Flatbread Dough (8-pack)",29
2025-05,ing001,"Flatbread Dough (8-pack)",26
2025-06,ing001,"Flatbread Dough (8-pack)",29
2025-07,ing001,"Flatbread Dough (8-pack)",25
2025-08,ing001,"Flatbread Dough (8-pack)",26
2025-09,ing001,"Flatbread Dough (8-pack)",26
2025-10,ing001,"Flatbread Dough (8-pack)",23
2023-04,ing002,"Roasted Red Peppers",4
2023-06,ing002,"Roasted Red Peppers",4
2023-07,ing002,"Roasted Red Peppers",8
2023-08,ing002,"Roasted Red Peppers",4
2023-10,ing002,"Roasted Red Peppers",6
2023-12,ing002,"Roasted Red Peppers",4
2024-01,ing002,"Roasted Red Peppers",4
2024-02,ing002,"Roasted Red Peppers",3
2024-03,ing002,"Roasted Red Peppers",2
2024-04,ing002,"Roasted Red Peppers",2
2024-05,ing002,"Roasted Red Peppers",3
2024-06,ing002,"Roasted Red Peppers",3
2024-07,ing002,"Roasted Red Peppers",3
2024-08,ing002,"Roasted Red Peppers",3
2024-10,ing002,"Roasted Red Peppers",3
2024-12,ing002,"Roasted Red Peppers",4
2025-01,ing002,"Roasted Red Peppers",4
2025-02,ing002,"Roasted Red Peppers",1
2025-03,ing002,"Roasted Red Peppers",3
2025-04,ing002,"Roasted Red Peppers",3
2025-06,ing002,"Roasted Red Peppers",4
2025-07,ing002,"Roasted Red Peppers",3
2025-08,ing002,"Roasted Red Peppers",3
2025-09,ing002,"Roasted Red Peppers",3
2023-02,ing003,"Goat Cheese",2
2023-03,ing003,"Goat Cheese",8
2023-04,ing003,"Goat Cheese",10
2023-05,ing003,"Goat Cheese",9
2023-06,ing003,"Goat Cheese",9
2023-07,ing003,"Goat Cheese",10
2023-08,ing003,"Goat Cheese",10
2023-09,ing003,"Goat Cheese",9
2023-10,ing003,"Goat Cheese",9
2023-11,ing003,"Goat Cheese",8
2023-12,ing003,"Goat Cheese",10
2024-01,ing003,"Goat Cheese",10
2024-02,ing003,"Goat Cheese",7
2024-03,ing003,"Goat Cheese",10
2024-04,ing003,"Goat Cheese",9
2024-05,ing003,"Goat Cheese",9
2024-06,ing003,"Goat Cheese",11
2024-07,ing003,"Goat Cheese",9
2024-08,ing003,"Goat Cheese",8
2024-09,ing003,"Goat Cheese",9
2024-10,ing003,"Goat Cheese",7
2024-11,ing003,"Goat Cheese",6
2024-12,ing003,"Goat Cheese",12
2025-01,ing003,"Goat Cheese",8
2025-02,ing003,"Goat Cheese",8
2025-03,ing003,"Goat Cheese",9
2025-04,ing003,"Goat Cheese",9
2025-05,ing003,"Goat Cheese",6
2025-06,ing003,"Goat Cheese",8
2025-07,ing003,"Goat Cheese",8
2025-08,ing003,"Goat Cheese",8
2025-09,ing003,"Goat Cheese",8
2025-10,ing003,"Goat Cheese",8
2023-03,ing004,"Black Olives",4
2023-04,ing004,"Black Olives",3
2023-06,ing004,"Black Olives",3
2023-07,ing004,"Black Olives",6
2023-08,ing004,"Black Olives",4
2023-09,ing004,"Black Olives",2
2023-10,ing004,"Black Olives",5
2023-11,ing004,"Black Olives",3
2023-12,ing004,"Black Olives",4
2024-01,ing004,"Black Olives",3
2024-02,ing004,"Black Olives",3
2024-03,ing004,"Black Olives",4
2024-04,ing004,"Black Olives",3
2024-05,ing004,"Black Olives",3
2024-06,ing004,"Black Olives",4
2024-07,ing004,"Black Olives",4
2024-08,ing004,"Black Olives",3
2024-09,ing004,"Black Olives",3
2024-10,ing004,"Black Olives",4
2024-11,ing004,"Black Olives",4
2024-12,ing004,"Black Olives",4
2025-01,ing004,"Black Olives",3
2025-02,ing004,"Black Olives",1
2025-03,ing004,"Black Olives",6
2025-05,ing004,"Black Olives",3
2025-06,ing004,"Black Olives",5
2025-07,ing004,"Black Olives",2
2025-08,ing004,"Black Olives",4
2025-09,ing004,"Black Olives",7
2023-04,ing005,"Sun-Dried Tomatoes",5
2023-05,ing005,"Sun-Dried Tomatoes",1
2023-06,ing005,"Sun-Dried Tomatoes",4
2023-07,ing005,"Sun-Dried Tomatoes",10
2023-09,ing005,"Sun-Dried Tomatoes",4
2023-10,ing005,"Sun-Dried Tomatoes",4
2023-11,ing005,"Sun-Dried Tomatoes",2
