year-month,beautify_month,ing_id,ing_name,max_monthly,min_monthly,monthly_drawn
2025-08,"August 2025",ing001,"Flatbread Dough (8-pack)",26,-2,28
2025-08,"August 2025",ing002,"Roasted Red Peppers",22,13,9
2025-08,"August 2025",ing003,"Goat Cheese",15,7,8
2025-08,"August 2025",ing004,"Black Olives",26,16,10
2025-08,"August 2025",ing005,"Sun-Dried Tomatoes",17,11,6
2025-08,"August 2025",ing006,"Spicy Chicken",12,6,6
2025-08,"August 2025",ing007,Jalapenos,22,11,11
2025-08,"August 2025",ing008,"Smoked Gouda",12,6,6
2025-08,"August 2025",ing009,"Chipotle Sauce",20,12,8
2025-08,"August 2025",ing010,"Wild Mushrooms",15,7,8
2025-08,"August 2025",ing011,"Truffle Oil",8,2,6
2025-08,"August 2025",ing012,Mozzarella,22,12,10
2025-08,"August 2025",ing013,"Fresh Spinach",16,8,8
2025-08,"August 2025",ing014,"Italian Sausage",12,6,6
2025-08,"August 2025",ing015,"Roasted Garlic",17,9,8
2025-08,"August 2025",ing016,"Red Onion",22,12,10
2025-08,"August 2025",ing017,"Fresh Basil",10,6,4
2025-08,"August 2025",ing018,"Smoked Salmon",2,-16,18
2025-08,"August 2025",ing019,"Dill Cream Cheese",11,5,6
2025-08,"August 2025",ing020,Capers,10,7,3
2025-08,"August 2025",ing021,Arugula,17,10,7
2025-08,"August 2025",ing022,"BBQ Brisket",9,5,4
2025-08,"August 2025",ing023,"Cheddar Cheese",15,8,7
2025-08,"August 2025",ing024,"BBQ Sauce",16,10,6
2025-08,"August 2025",ing025,"Tandoori Chicken",12,5,7
2025-08,"August 2025",ing026,"Mint Yogurt",13,7,6
2025-08,"August 2025",ing027,"Green Chilli",8,4,4
2025-08,"August 2025",ing028,"Grilled Pineapple",12,6,6
2025-08,"August 2025",ing029,"Pulled Pork",8,3,5
2025-08,"August 2025",ing030,"Truffle Fries",24,13,11
2025-08,"August 2025",ing031,Parmesan,9,9,0
2025-08,"August 2025",ing032,"Cauliflower Florets",20,11,9
2025-08,"August 2025",ing033,"Buffalo Sauce",13,8,5
2025-08,"August 2025",ing034,Ranch,13,7,6
2025-08,"August 2025",ing035,"Garlic Knots",31,17,14
2025-08,"August 2025",ing036,Kale,20,12,8
2025-08,"August 2025",ing037,Spinach,18,9,9
2025-08,"August 2025",ing038,Avocado,10,10,0
2025-08,"August 2025",ing039,"Mixed Seeds",15,15,0
2025-08,"August 2025",ing040,"Caramel Filling",16,9,7
2025-08,"August 2025",ing041,"Chocolate Syrup",17,17,0
2025-08,"August 2025",ing042,"Espresso Panna Base",12,7,5
2025-08,"August 2025",ing043,"Vanilla Syrup",10,10,0
2025-08,"August 2025",ing044,"Berry Mix",21,12,9
2025-08,"August 2025",ing045,"Oat Crumble",18,11,7
2025-08,"August 2025",ing046,"Mango Sticky Rice Mix",18,10,8
2025-08,"August 2025",ing047,"Cold Brew Coffee",72,18,54
2025-08,"August 2025",ing048,"Cold Brew Coffee 1.5L",42,15,27
2025-08,"August 2025",ing049,"Ginger Fizz 33cl",72,36,36
2025-08,"August 2025",ing050,"Ginger Fizz 1.5L",41,7,34
2025-08,"August 2025",ing051,"Lime Mint Sparkle 33cl",74,38,36
2025-08,"August 2025",ing052,"Lime Mint Sparkle 1.5L",47,13,34
2025-08,"August 2025",ing053,"Berry Kombucha 33cl",70,31,39
2025-08,"August 2025",ing054,"Berry Kombucha 1.5L",50,8,42
2025-09,"September 2025",ing001,"Flatbread Dough (8-pack)",28,3,25
2025-09,"September 2025",ing002,"Roasted Red Peppers",21,12,9
2025-09,"September 2025",ing003,"Goat Cheese",15,8,7
2025-09,"September 2025",ing004,"Black Olives",26,15,11
2025-09,"September 2025",ing005,"Sun-Dried Tomatoes",17,11,6
