year_month,ing_id,order_frequency_monthly,order_cycle_days
202509,ing001,9,3.3
202510,ing001,7,4.3
202509,ing002,1,30.0
202509,ing003,4,7.5
202510,ing003,4,7.5
202509,ing004,2,15.0
202510,ing005,1,30.0
202509,ing006,4,7.5
202510,ing006,3,10.0
202509,ing007,3,10.0
202510,ing007,3,10.0
202509,ing008,3,10.0
202510,ing008,3,10.0
202510,ing009,1,30.0
202509,ing010,5,6.0
202510,ing010,4,7.5
202509,ing011,11,2.7
202510,ing011,10,3.0
202509,ing012,3,10.0
202510,ing012,2,15.0
202509,ing013,2,15.0
202510,ing013,1,30.0
202509,ing014,5,6.0
202510,ing014,4,7.5
202509,ing015,1,30.0
202510,ing015,1,30.0
202509,ing016,4,7.5
202510,ing016,3,10.0
202509,ing017,1,30.0
202509,ing018,7,4.3
202510,ing018,6,5.0
202509,ing019,4,7.5
202510,ing019,3,10.0
202510,ing020,1,30.0
202509,ing022,7,4.3
202510,ing022,7,4.3
202509,ing023,4,7.5
202510,ing023,4,7.5
202509,ing024,2,15.0
202510,ing024,1,30.0
202509,ing025,5,6.0
202510,ing025,5,6.0
202509,ing026,2,15.0
202510,ing026,1,30.0
202509,ing027,2,15.0
202510,ing027,1,30.0
202509,ing028,4,7.5
202510,ing028,4,7.5
202509,ing029,7,4.3
202510,ing029,7,4.3
202509,ing030,3,10.0
202510,ing030,2,15.0
202509,ing032,1,30.0
202510,ing032,2,15.0
202509,ing035,1,30.0
202510,ing035,1,30.0
202509,ing037,2,15.0
202510,ing037,2,15.0
202510,ing038,1,30.0
202509,ing040,2,15.0
202510,ing040,2,15.0
202509,ing042,3,10.0
202510,ing042,1,30.0
202509,ing044,1,30.0
202510,ing044,1,30.0
202510,ing045,1,30.0
202509,ing046,2,15.0
202510,ing046,1,30.0
202509,ing047,4,7.5
202510,ing047,3,10.0
202509,ing048,5,6.0
202510,ing048,6,5.0
202509,ing049,5,6.0
202510,ing049,3,10.0
202509,ing050,4,7.5
202510,ing050,5,6.0
202509,ing051,4,7.5
202510,ing051,3,10.0
202509,ing052,4,7.5
202510,ing052,5,6.0
202509,ing053,4,7.5
202510,ing053,4,7.5
202509,ing054,7,4.3
202510,ing054,5,6.0
