year-month,ing_id,total_reorders_placed,avg_days_between_orders,reorder_instability_score,max_monthly_drawdown,optimization_action
2025-09,ing001,9,3.4,0.21,25,"RECOMMENDED: Increase Order Size"
2025-10,ing001,7,3.6,0.32,28,"RECOMMENDED: Increase Order Size"
2025-09,ing003,4,6.3,0.35,7,"RECOMMENDED: Increase Order Size"
2025-10,ing003,4,7.8,0.22,6,"RECOMMENDED: Increase Order Size"
2025-09,ing004,2,22.0,0.06,11,"MAINTAIN: Current Cadence is Stable"
2025-09,ing006,4,8.8,0.25,5,"RECOMMENDED: Increase Order Size"
2025-10,ing006,3,5.7,0.27,5,"MAINTAIN: Current Cadence is Stable"
2025-09,ing007,3,9.3,0.06,10,"MAINTAIN: Current Cadence is Stable"
2025-10,ing007,3,7.7,0.08,10,"MAINTAIN: Current Cadence is Stable"
2025-09,ing008,3,11.3,0.13,7,"MAINTAIN: Current Cadence is Stable"
2025-10,ing008,3,6.7,0.23,8,"MAINTAIN: Current Cadence is Stable"
2025-09,ing010,5,6.2,0.21,11,"RECOMMENDED: Increase Order Size"
2025-10,ing010,4,7.0,0,12,"RECOMMENDED: Increase Order Size"
2025-09,ing011,11,2.9,0.32,5,"CRITICAL TARGET: Consolidate to Bulk"
2025-10,ing011,10,2.6,0.2,4,"CRITICAL TARGET: Consolidate to Bulk"
2025-09,ing012,3,14.0,0.25,9,"MAINTAIN: Current Cadence is Stable"
2025-10,ing012,2,11.5,0.06,10,"MAINTAIN: Current Cadence is Stable"
2025-09,ing013,2,17.0,0.08,7,"MAINTAIN: Current Cadence is Stable"
2025-09,ing014,5,5.6,0.32,8,"RECOMMENDED: Increase Order Size"
2025-10,ing014,4,6.3,0.15,6,"RECOMMENDED: Increase Order Size"
2025-09,ing016,4,8.0,0.14,9,"RECOMMENDED: Increase Order Size"
2025-10,ing016,3,8.3,0.18,10,"MAINTAIN: Current Cadence is Stable"
2025-09,ing018,7,4.3,0.11,17,"RECOMMENDED: Increase Order Size"
2025-10,ing018,6,4.0,0,13,"CRITICAL TARGET: Consolidate to Bulk"
2025-09,ing019,4,8.5,0.41,8,"MAINTAIN: Current Cadence is Stable"
2025-10,ing019,3,6.7,0.09,9,"MAINTAIN: Current Cadence is Stable"
2025-09,ing022,7,4.1,0.17,6,"CRITICAL TARGET: Consolidate to Bulk"
2025-10,ing022,7,3.7,0.3,5,"CRITICAL TARGET: Consolidate to Bulk"
2025-09,ing023,4,7.8,0.29,7,"RECOMMENDED: Increase Order Size"
2025-10,ing023,4,6.8,0.14,6,"RECOMMENDED: Increase Order Size"
2025-09,ing024,2,16.5,0.04,7,"MAINTAIN: Current Cadence is Stable"
2025-09,ing025,5,6.4,0.18,6,"RECOMMENDED: Increase Order Size"
2025-10,ing025,5,5.4,0.28,5,"RECOMMENDED: Increase Order Size"
2025-09,ing026,2,19.5,0.11,6,"MAINTAIN: Current Cadence is Stable"
2025-09,ing027,2,19.5,0.18,4,"MAINTAIN: Current Cadence is Stable"
2025-09,ing028,4,7.3,0.31,6,"RECOMMENDED: Increase Order Size"
2025-10,ing028,4,6.5,0.2,6,"RECOMMENDED: Increase Order Size"
2025-09,ing029,7,3.9,0.31,7,"CRITICAL TARGET: Consolidate to Bulk"
2025-10,ing029,7,3.7,0.2,6,"CRITICAL TARGET: Consolidate to Bulk"
2025-09,ing030,3,12.3,0.12,12,"MAINTAIN: Current Cadence is Stable"
2025-10,ing030,2,14.0,0.1,10,"MAINTAIN: Current Cadence is Stable"
2025-10,ing032,2,16.0,0.09,9,"MAINTAIN: Current Cadence is Stable"
2025-09,ing037,2,13.0,0,7,"MAINTAIN: Current Cadence is Stable"
2025-10,ing037,2,11.0,0,9,"MAINTAIN: Current Cadence is Stable"
2025-09,ing040,2,15.5,0.32,7,"MAINTAIN: Current Cadence is Stable"
2025-10,ing040,2,12.0,0.24,7,"MAINTAIN: Current Cadence is Stable"
2025-09,ing042,3,17.7,0.36,5,"MAINTAIN: Current Cadence is Stable"
2025-09,ing046,2,20.0,0.28,7,"MAINTAIN: Current Cadence is Stable"
2025-09,ing047,4,8.8,0.39,44,"MAINTAIN: Current Cadence is Stable"
2025-10,ing047,3,8.0,0.22,42,"MAINTAIN: Current Cadence is Stable"
2025-09,ing048,5,4.6,0.12,29,"RECOMMENDED: Increase Order Size"
2025-10,ing048,6,5.7,0.52,28,"MAINTAIN: Current Cadence is Stable"
2025-09,ing049,5,7.6,0.26,46,"RECOMMENDED: Increase Order Size"
2025-10,ing049,3,7.3,0.21,53,"MAINTAIN: Current Cadence is Stable"
2025-09,ing050,4,6.8,0.19,26,"RECOMMENDED: Increase Order Size"
2025-10,ing050,5,5.2,0.53,41,"MAINTAIN: Current Cadence is Stable"
2025-09,ing051,4,7.0,0.26,41,"RECOMMENDED: Increase Order Size"
2025-10,ing051,3,7.7,0.4,42,"MAINTAIN: Current Cadence is Stable"
2025-09,ing052,4,6.3,0.46,36,"MAINTAIN: Current Cadence is Stable"
2025-10,ing052,5,5.8,0.37,29,"MAINTAIN: Current Cadence is Stable"
2025-09,ing053,4,7.0,0.12,44,"RECOMMENDED: Increase Order Size"
2025-10,ing053,4,7.8,0.12,32,"RECOMMENDED: Increase Order Size"
2025-09,ing054,7,4.0,0.29,36,"RECOMMENDED: Increase Order Size"
2025-10,ing054,5,4.6,0.42,49,"MAINTAIN: Current Cadence is Stable"
