ing_id,supplier_id,total_orders_by_supplier,supplier_volume,total_volume,supplier_dependency_ratio,ingredient_hhi_risk_index
ing001,sup001,89,1774,5423,0.33,0.33
ing001,sup002,87,1899,5423,0.35,0.33
ing001,sup005,83,1750,5423,0.32,0.33
ing002,sup002,13,117,216,0.54,0.5
ing002,sup004,11,99,216,0.46,0.5
ing003,sup003,142,867,867,1.00,1
ing004,sup002,16,176,341,0.52,0.5
ing004,sup004,15,165,341,0.48,0.5
ing005,sup002,11,77,161,0.48,0.5
ing005,sup004,12,84,161,0.52,0.5
ing006,sup004,135,685,685,1.00,1
ing007,sup002,65,665,1197,0.56,0.51
ing007,sup007,52,532,1197,0.44,0.51
ing008,sup003,113,687,687,1.00,1
ing009,sup006,40,320,320,1.00,1
ing010,sup002,50,382,1088,0.35,0.34
ing010,sup004,51,384,1088,0.35,0.34
ing010,sup007,43,322,1088,0.30,0.34
ing011,sup006,340,1111,1111,1.00,1
ing012,sup003,74,743,743,1.00,1
ing013,sup002,21,147,364,0.40,0.52
ing013,sup007,31,217,364,0.60,0.52
ing014,sup004,205,1093,1093,1.00,1
ing015,sup002,27,216,360,0.60,0.52
ing015,sup004,18,144,360,0.40,0.52
ing016,sup002,67,686,1281,0.54,0.5
ing016,sup007,58,595,1281,0.46,0.5
ing017,sup002,12,48,104,0.46,0.5
ing017,sup007,14,56,104,0.54,0.5
ing018,sup004,244,2184,2184,1.00,1
ing019,sup003,129,794,794,1.00,1
ing020,sup002,13,52,84,0.62,0.53
ing020,sup006,8,32,84,0.38,0.53
ing021,sup002,11,77,98,0.79,0.67
ing021,sup007,3,21,98,0.21,0.67
ing022,sup004,252,1077,1077,1.00,1
ing023,sup003,130,793,793,1.00,1
ing024,sup006,48,336,336,1.00,1
ing025,sup004,170,878,878,1.00,1
ing026,sup003,56,336,336,1.00,1
ing027,sup002,25,100,224,0.45,0.51
ing027,sup007,31,124,224,0.55,0.51
ing028,sup002,63,317,650,0.49,0.5
ing028,sup004,66,333,650,0.51,0.5
ing029,sup004,244,1072,1072,1.00,1
ing030,sup002,28,289,667,0.43,0.35
ing030,sup005,15,156,667,0.23,0.35
ing030,sup008,22,222,667,0.33,0.35
ing031,sup003,6,24,24,1.00,1
ing032,sup002,22,199,572,0.35,0.36
ing032,sup004,27,245,572,0.43,0.36
ing032,sup007,14,128,572,0.22,0.36
ing033,sup006,10,60,60,1.00,1
ing034,sup006,2,12,12,1.00,1
ing035,sup001,26,342,615,0.56,0.51
ing035,sup005,21,273,615,0.44,0.51
ing036,sup002,4,32,104,0.31,0.57
ing036,sup007,9,72,104,0.69,0.57
ing037,sup002,41,330,556,0.59,0.52
ing037,sup007,28,226,556,0.41,0.52
ing038,sup002,1,6,24,0.25,0.62
ing038,sup007,3,18,24,0.75,0.62
ing040,sup001,23,140,426,0.33,0.34
ing040,sup003,28,169,426,0.40,0.34
ing040,sup005,19,117,426,0.27,0.34
ing042,sup003,33,166,312,0.53,0.5
ing042,sup006,29,146,312,0.47,0.5
ing044,sup002,13,117,216,0.54,0.5
ing044,sup007,11,99,216,0.46,0.5
ing045,sup001,7,49,140,0.35,0.55
ing045,sup005,13,91,140,0.65,0.55
ing046,sup001,17,136,419,0.32,0.56
ing046,sup004,35,283,419,0.68,0.56
ing047,sup006,69,2272,4185,0.54,0.5
ing047,sup008,59,1913,4185,0.46,0.5
ing048,sup006,102,2278,4361,0.52,0.5
ing048,sup008,93,2083,4361,0.48,0.5
ing049,sup008,116,4231,4231,1.00,1
ing050,sup008,181,4520,4520,1.00,1
ing051,sup008,123,4318,4318,1.00,1
ing052,sup008,168,4205,4205,1.00,1
ing053,sup008,129,4430,4430,1.00,1
ing054,sup008,181,4404,4404,1.00,1
