supplier_id,ing_id,avg_lead_time,lead_time_volatility,supplier_instability_score,sup_reliability_score
sup001,ing001,5.00,0,0,100
sup001,ing035,3.00,0,0,100
sup001,ing040,3.00,0,0,100
sup001,ing045,3.00,0,0,100
sup001,ing046,5.00,0,0,100
sup002,ing001,3.00,0,0,100
sup002,ing002,4.00,0,0,100
sup002,ing004,3.00,0,0,100
sup002,ing005,5.00,0,0,100
sup002,ing007,3.00,0,0,100
sup002,ing010,5.00,0,0,100
sup002,ing013,2.00,0,0,100
sup002,ing015,3.00,0,0,100
sup002,ing016,4.00,0,0,100
sup002,ing017,2.00,0,0,100
sup002,ing020,3.00,0,0,100
sup002,ing021,5.00,0,0,100
sup002,ing027,4.00,0,0,100
sup002,ing028,3.00,0,0,100
sup002,ing030,5.00,0,0,100
sup002,ing032,2.00,0,0,100
sup002,ing036,3.00,0,0,100
sup002,ing037,3.00,0,0,100
sup002,ing038,2.00,NULL,0,100
sup002,ing044,3.00,0,0,100
sup003,ing003,2.00,0,0,100
sup003,ing008,3.00,0,0,100
sup003,ing012,3.00,0,0,100
sup003,ing019,3.00,0,0,100
sup003,ing023,3.00,0,0,100
sup003,ing026,3.00,0,0,100
sup003,ing031,3.00,0,0,100
sup003,ing040,3.00,0,0,100
sup003,ing042,3.00,0,0,100
sup004,ing002,3.00,0,0,100
sup004,ing004,4.00,0,0,100
sup004,ing005,4.00,0,0,100
sup004,ing006,2.00,0,0,100
sup004,ing010,3.00,0,0,100
sup004,ing014,2.00,0,0,100
sup004,ing015,3.00,0,0,100
sup004,ing018,4.00,0,0,100
sup004,ing022,2.00,0,0,100
sup004,ing025,2.00,0,0,100
sup004,ing028,3.00,0,0,100
sup004,ing029,3.00,0,0,100
sup004,ing032,4.00,0,0,100
sup004,ing046,3.00,0,0,100
sup005,ing001,2.00,0,0,100
sup005,ing030,3.00,0,0,100
sup005,ing035,3.00,0,0,100
sup005,ing040,4.00,0,0,100
sup005,ing045,2.00,0,0,100
sup006,ing009,3.00,0,0,100
sup006,ing011,2.00,0,0,100
sup006,ing020,4.00,0,0,100
sup006,ing024,3.00,0,0,100
sup006,ing033,3.00,0,0,100
sup006,ing034,3.00,0,0,100
sup006,ing042,4.00,0,0,100
sup006,ing047,3.00,0,0,100
sup006,ing048,2.00,0,0,100
sup007,ing007,4.00,0,0,100
sup007,ing010,7.00,0,0,100
sup007,ing013,3.00,0,0,100
sup007,ing016,3.00,0,0,100
sup007,ing017,3.00,0,0,100
sup007,ing021,6.00,0,0,100
sup007,ing027,3.00,0,0,100
sup007,ing032,2.00,0,0,100
sup007,ing036,4.00,0,0,100
sup007,ing037,2.00,0,0,100
sup007,ing038,3.00,0,0,100
sup007,ing044,4.00,0,0,100
sup008,ing030,4.00,0,0,100
sup008,ing047,4.00,0,0,100
sup008,ing048,3.00,0,0,100
sup008,ing049,3.00,0,0,100
sup008,ing050,3.00,0,0,100
sup008,ing051,2.00,0,0,100
sup008,ing052,3.00,0,0,100
sup008,ing053,3.00,0,0,100
sup008,ing054,3.00,0,0,100
