transaction_id,ing_id,transaction_date,transaction_type,change_qty,supplier_id,previous_receipt_date,order_burst_days
txn00030,ing001,2023-02-22,PURCHASE_ORDER,18,sup002,2023-02-21,1
txn00060,ing001,2023-02-25,PURCHASE_ORDER,19,sup002,2023-02-21,4
txn00091,ing001,2023-02-28,PURCHASE_ORDER,17,sup001,2023-02-25,3
txn00143,ing001,2023-03-05,PURCHASE_ORDER,32,sup001,2023-02-28,5
txn00188,ing001,2023-03-10,PURCHASE_ORDER,27,sup002,2023-03-05,5
txn00224,ing001,2023-03-13,PURCHASE_ORDER,20,sup002,2023-03-10,3
txn00251,ing001,2023-03-16,PURCHASE_ORDER,20,sup005,2023-03-13,3
txn00287,ing001,2023-03-20,PURCHASE_ORDER,15,sup002,2023-03-18,2
txn00326,ing001,2023-03-23,PURCHASE_ORDER,21,sup001,2023-03-18,5
txn00376,ing001,2023-03-28,PURCHASE_ORDER,29,sup002,2023-03-23,5
txn00413,ing001,2023-03-31,PURCHASE_ORDER,18,sup005,2023-03-28,3
txn00445,ing001,2023-04-03,PURCHASE_ORDER,16,sup001,2023-04-02,1
txn00507,ing001,2023-04-08,PURCHASE_ORDER,36,sup001,2023-04-02,6
txn00555,ing001,2023-04-13,PURCHASE_ORDER,29,sup002,2023-04-08,5
txn00591,ing001,2023-04-16,PURCHASE_ORDER,17,sup001,2023-04-13,3
txn00643,ing001,2023-04-21,PURCHASE_ORDER,26,sup002,2023-04-16,5
txn00673,ing001,2023-04-24,PURCHASE_ORDER,17,sup002,2023-04-21,3
txn00704,ing001,2023-04-27,PURCHASE_ORDER,16,sup001,2023-04-24,3
txn00753,ing001,2023-05-02,PURCHASE_ORDER,24,sup002,2023-04-27,5
txn00782,ing001,2023-05-05,PURCHASE_ORDER,20,sup005,2023-05-02,3
txn00833,ing001,2023-05-09,PURCHASE_ORDER,20,sup005,2023-05-07,2
txn00863,ing001,2023-05-13,PURCHASE_ORDER,19,sup001,2023-05-11,2
txn00919,ing001,2023-05-18,PURCHASE_ORDER,22,sup001,2023-05-11,7
txn00967,ing001,2023-05-23,PURCHASE_ORDER,22,sup005,2023-05-18,5
txn00997,ing001,2023-05-26,PURCHASE_ORDER,18,sup002,2023-05-25,1
txn01028,ing001,2023-05-29,PURCHASE_ORDER,16,sup001,2023-05-25,4
txn01085,ing001,2023-06-03,PURCHASE_ORDER,25,sup005,2023-05-29,5
txn01108,ing001,2023-06-05,PURCHASE_ORDER,15,sup005,2023-06-03,2
txn01138,ing001,2023-06-08,PURCHASE_ORDER,16,sup001,2023-06-07,1
txn01195,ing001,2023-06-13,PURCHASE_ORDER,30,sup002,2023-06-07,6
txn01225,ing001,2023-06-16,PURCHASE_ORDER,16,sup002,2023-06-13,3
txn01260,ing001,2023-06-19,PURCHASE_ORDER,15,sup001,2023-06-16,3
txn01314,ing001,2023-06-24,PURCHASE_ORDER,27,sup002,2023-06-19,5
txn01343,ing001,2023-06-27,PURCHASE_ORDER,19,sup002,2023-06-24,3
txn01377,ing001,2023-06-30,PURCHASE_ORDER,18,sup001,2023-06-27,3
txn01427,ing001,2023-07-05,PURCHASE_ORDER,23,sup001,2023-06-30,5
txn01476,ing001,2023-07-10,PURCHASE_ORDER,29,sup005,2023-07-05,5
txn01505,ing001,2023-07-12,PURCHASE_ORDER,15,sup001,2023-07-10,2
txn01569,ing001,2023-07-17,PURCHASE_ORDER,31,sup005,2023-07-12,5
txn01595,ing001,2023-07-20,PURCHASE_ORDER,17,sup001,2023-07-19,1
txn01651,ing001,2023-07-25,PURCHASE_ORDER,32,sup002,2023-07-19,6
txn01694,ing001,2023-07-29,PURCHASE_ORDER,22,sup002,2023-07-28,1
txn01744,ing001,2023-08-02,PURCHASE_ORDER,17,sup005,2023-08-01,1
txn01761,ing001,2023-08-04,PURCHASE_ORDER,15,sup001,2023-08-01,3
txn01818,ing001,2023-08-09,PURCHASE_ORDER,34,sup002,2023-08-04,5
txn01842,ing001,2023-08-12,PURCHASE_ORDER,16,sup002,2023-08-09,3
txn01885,ing001,2023-08-16,PURCHASE_ORDER,19,sup001,2023-08-15,1
txn01936,ing001,2023-08-21,PURCHASE_ORDER,25,sup002,2023-08-15,6
txn01961,ing001,2023-08-24,PURCHASE_ORDER,16,sup002,2023-08-21,3
txn02007,ing001,2023-08-28,PURCHASE_ORDER,18,sup005,2023-08-27,1
txn02026,ing001,2023-08-30,PURCHASE_ORDER,17,sup005,2023-08-27,3
txn02061,ing001,2023-09-02,PURCHASE_ORDER,15,sup005,2023-09-01,1
txn02095,ing001,2023-09-05,PURCHASE_ORDER,16,sup001,2023-09-04,1
txn02157,ing001,2023-09-10,PURCHASE_ORDER,30,sup001,2023-09-04,6
txn02207,ing001,2023-09-15,PURCHASE_ORDER,27,sup005,2023-09-10,5
txn02234,ing001,2023-09-18,PURCHASE_ORDER,16,sup005,2023-09-17,1
txn02263,ing001,2023-09-21,PURCHASE_ORDER,15,sup005,2023-09-20,1
txn02296,ing001,2023-09-24,PURCHASE_ORDER,15,sup002,2023-09-23,1
txn02326,ing001,2023-09-27,PURCHASE_ORDER,16,sup001,2023-09-23,4
txn02381,ing001,2023-10-02,PURCHASE_ORDER,27,sup002,2023-09-27,5
txn02423,ing001,2023-10-05,PURCHASE_ORDER,16,sup005,2023-10-02,3
txn02452,ing001,2023-10-08,PURCHASE_ORDER,16,sup002,2023-10-07,1
txn02487,ing001,2023-10-11,PURCHASE_ORDER,15,sup005,2023-10-07,4
txn02517,ing001,2023-10-14,PURCHASE_ORDER,16,sup005,2023-10-13,1
txn02546,ing001,2023-10-17,PURCHASE_ORDER,16,sup002,2023-10-16,1
txn02579,ing001,2023-10-20,PURCHASE_ORDER,17,sup005,2023-10-16,4
txn02611,ing001,2023-10-23,PURCHASE_ORDER,16,sup005,2023-10-22,1
txn02646,ing001,2023-10-26,PURCHASE_ORDER,18,sup005,2023-10-25,1
txn02685,ing001,2023-10-30,PURCHASE_ORDER,20,sup005,2023-10-28,2
txn02733,ing001,2023-11-03,PURCHASE_ORDER,18,sup002,2023-11-01,2
txn02759,ing001,2023-11-06,PURCHASE_ORDER,15,sup005,2023-11-01,5
txn02793,ing001,2023-11-10,PURCHASE_ORDER,15,sup005,2023-11-08,2
txn02828,ing001,2023-11-13,PURCHASE_ORDER,17,sup005,2023-11-12,1
txn02862,ing001,2023-11-17,PURCHASE_ORDER,20,sup002,2023-11-15,2
txn02899,ing001,2023-11-20,PURCHASE_ORDER,16,sup005,2023-11-15,5
txn02928,ing001,2023-11-23,PURCHASE_ORDER,15,sup002,2023-11-22,1
txn02969,ing001,2023-11-27,PURCHASE_ORDER,18,sup002,2023-11-26,1
txn03009,ing001,2023-11-30,PURCHASE_ORDER,16,sup001,2023-11-26,4
txn03060,ing001,2023-12-05,PURCHASE_ORDER,36,sup002,2023-11-30,5
txn03099,ing001,2023-12-08,PURCHASE_ORDER,18,sup002,2023-12-05,3
txn03135,ing001,2023-12-11,PURCHASE_ORDER,18,sup002,2023-12-08,3
txn03165,ing001,2023-12-14,PURCHASE_ORDER,16,sup001,2023-12-11,3
txn03211,ing001,2023-12-19,PURCHASE_ORDER,34,sup005,2023-12-14,5
txn03242,ing001,2023-12-22,PURCHASE_ORDER,16,sup002,2023-12-21,1
txn03277,ing001,2023-12-25,PURCHASE_ORDER,16,sup001,2023-12-21,4
txn03329,ing001,2023-12-30,PURCHASE_ORDER,34,sup005,2023-12-25,5
txn03365,ing001,2024-01-02,PURCHASE_ORDER,16,sup002,2024-01-01,1
txn03409,ing001,2024-01-06,PURCHASE_ORDER,22,sup005,2024-01-05,1
txn03437,ing001,2024-01-09,PURCHASE_ORDER,18,sup005,2024-01-08,1
txn03476,ing001,2024-01-12,PURCHASE_ORDER,16,sup002,2024-01-11,1
txn03512,ing001,2024-01-16,PURCHASE_ORDER,19,sup005,2024-01-15,1
txn03534,ing001,2024-01-18,PURCHASE_ORDER,18,sup001,2024-01-15,3
txn03591,ing001,2024-01-23,PURCHASE_ORDER,33,sup001,2024-01-18,5
txn03650,ing001,2024-01-28,PURCHASE_ORDER,30,sup002,2024-01-23,5
txn03682,ing001,2024-01-31,PURCHASE_ORDER,15,sup001,2024-01-28,3
txn03731,ing001,2024-02-05,PURCHASE_ORDER,26,sup005,2024-01-31,5
txn03766,ing001,2024-02-08,PURCHASE_ORDER,19,sup001,2024-02-07,1
txn03810,ing001,2024-02-13,PURCHASE_ORDER,29,sup005,2024-02-07,6
txn03831,ing001,2024-02-15,PURCHASE_ORDER,17,sup001,2024-02-13,2
txn03900,ing001,2024-02-20,PURCHASE_ORDER,30,sup001,2024-02-15,5
txn03946,ing001,2024-02-25,PURCHASE_ORDER,19,sup002,2024-02-20,5
txn03972,ing001,2024-02-28,PURCHASE_ORDER,18,sup001,2024-02-25,3
