ing_id,supplier_id,total_orders,supplier_switches
ing001,sup002,7,3
ing001,sup005,5,5
ing001,sup001,4,3
ing002,sup004,1,0
ing003,sup003,8,0
ing004,sup002,1,1
ing004,sup004,1,1
ing005,sup004,1,0
ing006,sup004,7,0
ing007,sup002,3,2
ing007,sup007,3,3
ing008,sup003,6,0
ing009,sup006,1,0
ing010,sup004,4,1
ing010,sup002,3,2
ing010,sup007,2,1
ing011,sup006,21,0
ing012,sup003,5,0
ing013,sup007,1,0
ing013,sup002,2,1
ing014,sup004,9,0
ing015,sup004,2,0
ing016,sup007,5,3
ing016,sup002,2,2
ing017,sup007,1,0
ing018,sup004,13,0
ing019,sup003,7,0
ing020,sup006,1,1
ing022,sup004,14,0
ing023,sup003,8,0
ing024,sup006,3,0
ing025,sup004,10,0
ing026,sup003,3,0
ing027,sup002,1,0
ing027,sup007,2,1
ing028,sup004,6,1
ing028,sup002,2,1
ing029,sup004,14,0
ing030,sup002,3,2
ing030,sup005,1,1
ing030,sup008,1,1
ing032,sup007,2,1
ing032,sup004,1,1
ing035,sup001,2,0
ing037,sup007,3,1
ing037,sup002,1,1
ing038,sup007,1,0
ing040,sup001,4,1
ing042,sup006,2,1
ing042,sup003,2,2
ing044,sup007,2,1
ing045,sup001,1,1
ing046,sup004,3,0
ing047,sup006,4,3
ing047,sup008,3,2
ing048,sup008,4,2
ing048,sup006,7,3
ing049,sup008,8,0
ing050,sup008,9,0
ing051,sup008,7,0
ing052,sup008,9,0
ing053,sup008,8,0
ing054,sup008,12,0
