_year,ingredients,consumption,optimal_yoy,predicted_consmption_annual,emergency_buffer_units
2025,ing001,3268500,0.1457,3744720,476220
2025,ing002,157275,0.1867,186638,29363
2025,ing003,251640,0.1867,298621,46981
2025,ing004,125820,0.1867,149311,23491
2025,ing005,94365,0.1867,111983,17618
2025,ing006,309850,0.1588,359054,49204
2025,ing007,181900,0.1247,204583,22683
2025,ing008,247880,0.1588,287243,39363
2025,ing009,61970,0.1588,71811,9841
2025,ing010,277800,0.1163,310108,32308
2025,ing011,69465,0.1284,78384,8919
2025,ing012,551800,0.1022,608194,56394
2025,ing013,138900,0.1163,155054,16154
2025,ing014,335750,0.1223,376812,41062
2025,ing015,67150,0.1223,75362,8212
2025,ing016,395640,0.1321,447904,52264
2025,ing017,17475,0.1233,19630,2155
2025,ing018,326800,0.0642,347781,20981
2025,ing019,196080,0.0642,208668,12588
2025,ing020,32680,0.0642,34778,2098
2025,ing021,85040,0.0654,90602,5562
2025,ing022,323750,0.1217,363150,39400
2025,ing023,286700,0.1112,318581,31881
2025,ing024,64750,0.1217,72630,7880
2025,ing025,329600,0.1530,380029,50429
2025,ing026,65920,0.1530,76006,10086
2025,ing027,32960,0.1530,38003,5043
2025,ing028,205500,0.0879,223563,18063
2025,ing029,342500,0.0879,372606,30106
2025,ing030,344250,0.1831,407282,63032
2025,ing031,13770,0.1831,16291,2521
2025,ing032,252400,0.0000,252400,0
2025,ing033,18930,0.0000,18930,0
2025,ing034,18930,0.0000,18930,0
2025,ing035,207750,0.0063,209059,1309
2025,ing036,66250,0.1889,78765,12515
2025,ing037,39750,0.1889,47259,7509
2025,ing038,53000,0.1889,63012,10012
2025,ing039,13250,0.1889,15753,2503
2025,ing040,74940,-0.0007,74888,-52
2025,ing041,24980,-0.0007,24963,-17
2025,ing042,126000,0.1319,142619,16619
2025,ing043,18900,0.1319,21393,2493
2025,ing044,101520,0.1939,121205,19685
2025,ing045,50760,0.1939,60602,9842
2025,ing046,145920,0.2331,179934,34014
2025,ing047,409200,0.1350,464442,55242
2025,ing048,2023500,0.0080,2039688,16188
2025,ing049,408540,0.0790,440815,32275
2025,ing050,1932000,-0.0382,1858198,-73802
2025,ing051,431970,0.1574,499962,67992
2025,ing052,1981500,0.1124,2204221,222721
2025,ing053,442860,0.1021,488076,45216
2025,ing054,2130000,0.1138,2372394,242394
