ing_id,unit_cost,total_consumption,base_cost,inflated_cost,cost_impact
ing018,0.0320,326800,10457.6000,12026.240000,1568.640000
ing001,0.0025,3268500,8171.2500,9396.937500,1225.687500
ing054,0.0033,2130000,7099.9993,8164.999290,1065.000000
ing048,0.0027,2023500,5395.9987,6205.398651,809.400000
ing052,0.0027,1981500,5283.9987,6076.598679,792.600000
ing050,0.0027,1932000,5151.9987,5924.798712,772.800000
ing022,0.0140,323750,4532.5000,5212.375000,679.875000
ing014,0.0120,335750,4029.0000,4633.350000,604.350000
ing029,0.0100,342500,3425.0000,3938.750000,513.750000
ing011,0.0450,69465,3125.9250,3594.813750,468.888750
ing012,0.0056,551800,3090.0800,3553.592000,463.512000
ing025,0.0092,329600,3021.3331,3474.533114,453.200000
ing053,0.0061,442860,2684.0000,3086.599571,402.599597
ing051,0.0061,431970,2618.0000,3010.699581,392.699607
ing024,0.0400,64750,2590.0000,2978.500000,388.500000
ing003,0.0100,251640,2516.4000,2893.860000,377.460000
ing047,0.0061,409200,2480.0000,2851.999603,371.999628
ing006,0.0080,309850,2478.8000,2850.620000,371.820000
ing049,0.0061,408540,2476.0000,2847.399604,371.399629
ing010,0.0088,277800,2430.7500,2795.362500,364.612500
ing008,0.0083,247880,2065.6666,2375.516584,309.850000
ing023,0.0067,286700,1911.3331,2198.033142,286.700000
ing019,0.0088,196080,1715.7000,1973.055000,257.355000
ing030,0.0047,344250,1606.4998,1847.474771,240.975000
ing028,0.0070,205500,1438.5000,1654.275000,215.775000
ing016,0.0030,395640,1186.9200,1364.958000,178.038000
ing007,0.0060,181900,1091.4000,1255.110000,163.710000
ing035,0.0050,207750,1038.7500,1194.562500,155.812500
ing032,0.0033,252400,841.3332,967.533249,126.200000
ing042,0.0060,126000,756.0000,869.400000,113.400000
ing040,0.0100,74940,749.4000,861.810000,112.410000
ing031,0.0440,13770,605.8800,696.762000,90.882000
ing046,0.0040,145920,583.6800,671.232000,87.552000
ing013,0.0040,138900,555.6000,638.940000,83.340000
ing015,0.0080,67150,537.2000,617.780000,80.580000
ing026,0.0080,65920,527.3600,606.464000,79.104000
ing037,0.0132,39750,525.3304,604.129921,78.799526
ing002,0.0033,157275,524.2499,602.887448,78.637500
ing044,0.0050,101520,507.6000,583.740000,76.140000
ing009,0.0080,61970,495.7600,570.124000,74.364000
ing005,0.0050,94365,471.8250,542.598750,70.773750
ing038,0.0080,53000,424.0000,487.600000,63.600000
ing004,0.0030,125820,377.4600,434.079000,56.619000
ing021,0.0040,85040,340.1600,391.184000,51.024000
ing045,0.0067,50760,338.4000,389.159966,50.760000
ing036,0.0050,66250,331.2500,380.937500,49.687500
ing020,0.0100,32680,326.8000,375.820000,49.020000
ing043,0.0160,18900,302.4000,347.760000,45.360000
ing017,0.0150,17475,262.1250,301.443750,39.318750
ing034,0.0118,18930,222.7059,256.111750,33.405885
ing027,0.0067,32960,219.7333,252.693311,32.960000
ing033,0.0100,18930,189.3000,217.695000,28.395000
ing041,0.0071,24980,178.4286,205.192839,26.764271
ing039,0.0133,13250,176.6667,203.166662,26.500000
