_year_month,total_revenue_monthly,total_cost_price_monthly,total_monthly_wages,net_monthly_profit,net_profit_margin_over_time
2023-02,26053,5011,39080,-18038,-0.6924
2023-03,62854,11713,82312,-31171,-0.4959
2023-04,59817,10871,77496,-28550,-0.4773
2023-05,58322,10909,85560,-38147,-0.6541
2023-06,58527,10651,78816,-30940,-0.5286
2023-07,63792,11703,80512,-28423,-0.4456
2023-08,59260,10995,84080,-35815,-0.6044
2023-09,57498,10809,77816,-31127,-0.5414
2023-10,60544,11253,82968,-33677,-0.5562
2023-11,55565,10425,80520,-35380,-0.6367
2023-12,62100,11313,79768,-28982,-0.4667
2024-01,61631,11029,85400,-34798,-0.5646
2024-02,56637,10095,76864,-30323,-0.5354
2024-03,62917,11357,79312,-27752,-0.4411
2024-04,57324,10694,81608,-34978,-0.6102
2024-05,58775,10599,82448,-34272,-0.5831
2024-06,58046,10693,77360,-30008,-0.5170
2024-07,58571,10771,85400,-37600,-0.6419
2024-08,59987,10798,80448,-31259,-0.5211
2024-09,53832,9991,79360,-35520,-0.6598
2024-10,58771,10896,83944,-36069,-0.6137
2024-11,54086,10001,78272,-34187,-0.6321
2024-12,57191,10604,82968,-36381,-0.6361
2025-01,61396,11350,82584,-32538,-0.5300
2025-02,55550,10149,74528,-29127,-0.5243
2025-03,62903,11556,81176,-29829,-0.4742
2025-04,54626,10249,81768,-37391,-0.6845
2025-05,60094,10977,80608,-31490,-0.5240
2025-06,55506,10254,79040,-33788,-0.6087
2025-07,61189,11099,84128,-34038,-0.5563
2025-08,60737,11202,79288,-29753,-0.4899
2025-09,56796,10453,81608,-35265,-0.6209
2025-10,48826,9202,65768,-26145,-0.5355
