_year_month,total_revenue_monthly,total_cost_price_monthly,total_monthly_wages,net_monthly_profit,net_profit_margin_over_time
2023-02,44290,5011,39080,199,0.0045
2023-03,106851,11713,82312,12827,0.1200
2023-04,101689,10871,77496,13323,0.1310
2023-05,99148,10909,85560,2679,0.0270
2023-06,99497,10651,78816,10030,0.1008
2023-07,108447,11703,80512,16231,0.1497
2023-08,100742,10995,84080,5667,0.0563
2023-09,97747,10809,77816,9122,0.0933
2023-10,102925,11253,82968,8704,0.0846
2023-11,94460,10425,80520,3515,0.0372
2023-12,105569,11313,79768,14488,0.1372
2024-01,104772,11029,85400,8344,0.0796
2024-02,96282,10095,76864,9323,0.0968
2024-03,106959,11357,79312,16289,0.1523
2024-04,97452,10694,81608,5149,0.0528
2024-05,99918,10599,82448,6871,0.0688
2024-06,98677,10693,77360,10624,0.1077
2024-07,99571,10771,85400,3400,0.0341
2024-08,101978,10798,80448,10731,0.1052
2024-09,91514,9991,79360,2163,0.0236
2024-10,99911,10896,83944,5071,0.0508
2024-11,91947,10001,78272,3674,0.0400
2024-12,97225,10604,82968,3653,0.0376
2025-01,104373,11350,82584,10439,0.1000
2025-02,94436,10149,74528,9759,0.1033
2025-03,106935,11556,81176,14203,0.1328
2025-04,92865,10249,81768,848,0.0091
2025-05,102160,10977,80608,10576,0.1035
2025-06,94360,10254,79040,5066,0.0537
2025-07,104021,11099,84128,8794,0.0845
2025-08,103252,11202,79288,12763,0.1236
2025-09,96553,10453,81608,4492,0.0465
2025-10,83004,9202,65768,8034,0.0968
