item_id,net_profit,sc1_new_net_profit,sc2_new_net_profit,sc3_new_net_profit
it023,-12077.01,-10335.54,-8739.35,-4821.62
it028,-16156.12,-13936.58,-12416.72,-8030.65
it029,-18829.05,-17291.75,-15882.75,-12136.55
it004,20329.55,22039.78,23607.51,27455.14
it016,24884.33,26714.93,28392.77,32510.70
it031,-19849.31,-18139.65,-16572.69,-12431.45
it008,26553.93,28389.71,30072.68,34203.28
it012,24187.71,25908.40,27485.49,31356.07
it014,29834.77,31718.40,33445.48,37684.58
it017,-7777.25,-5947.18,-4269.62,-152.09
it003,14070.85,15685.17,17165.06,20797.12
it024,-9813.84,-8066.78,-6465.69,-2535.91
it013,18535.04,19955.08,21256.58,24451.04
it019,-11614.44,-9644.66,-7839.33,-3408.30
it022,-11211.76,-9439.80,-7815.99,-3830.25
it026,-10824.23,-8913.96,-7163.05,-2865.49
it009,8555.10,10368.19,12030.67,16111.06
it015,13968.90,15886.62,17644.39,21958.62
it030,-17450.37,-14813.11,-13283.42,-8912.45
it021,-9300.20,-7699.56,-6232.24,-2631.03
it025,-17196.74,-15636.99,-14207.38,-10698.52
it027,-19937.24,-17962.26,-16402.27,-12258.44
it032,-16122.19,-13162.53,-11543.97,-6727.60
it006,23586.34,25485.17,27225.54,31497.24
it002,19313.61,21053.84,22649.15,26564.51
it011,12190.26,13711.78,15106.34,18528.93
it001,11862.30,13653.45,15295.37,19325.48
it010,20598.91,22601.56,24437.42,28943.50
it007,18734.03,20454.05,22030.61,25900.12
it020,-10906.78,-8807.47,-6883.09,-2159.80
it018,-7592.15,-5955.61,-4455.66,-774.12
it005,14430.97,16141.57,17709.57,21558.09
