max_year,item_id,annual_net_profit,cum_sum,total_sum,perc
2025,it014,29834.77,29834.77,308821.64,0.096608
2025,it008,26553.93,56388.70,308821.64,0.182593
2025,it016,24884.33,81273.03,308821.64,0.263171
2025,it012,24187.71,105460.74,308821.64,0.341494
2025,it006,23596.80,129057.54,308821.64,0.417903
2025,it010,20601.01,149658.55,308821.64,0.484612
2025,it004,20332.20,169990.75,308821.64,0.550450
2025,it002,19334.02,189324.77,308821.64,0.613055
2025,it007,18763.99,208088.76,308821.64,0.673815
2025,it013,18565.34,226654.10,308821.64,0.733932
2025,it005,14679.44,241333.54,308821.64,0.781466
2025,it015,14261.60,255595.14,308821.64,0.827646
