acquisition_cohort,customer_acquisition,ltv_m0,cumulative_ltv_m12,cumulative_ltv_m24,avg_m0,cumulative_avg_m12,cumulative_avg_m24
Feb-23,262,1925,15150,28117,7.3,57.8,107.3
Mar-23,375,3384,23180,41724,9.0,61.8,111.3
Apr-23,171,1513,10253,18919,8.8,60.0,110.6
May-23,99,808,6039,11292,8.2,61.0,114.1
Jun-23,44,357,3003,5264,8.1,68.3,119.6
Jul-23,26,212,1552,2898,8.2,59.7,111.5
Aug-23,13,102,873,1578,7.8,67.2,121.4
Sep-23,4,19,207,383,4.8,51.8,95.8
Oct-23,1,9,53,74,9.0,53.0,74.0
Nov-23,3,22,220,396,7.3,73.3,132.0
Dec-23,1,2,58,100,2.0,58.0,100.0
Jan-24,0,0,0,0,NULL,NULL,NULL
Feb-24,0,0,0,0,NULL,NULL,NULL
Mar-24,1,13,66,98,13.0,66.0,98.0
Apr-24,0,0,0,0,NULL,NULL,NULL
May-24,0,0,0,0,NULL,NULL,NULL
Jun-24,0,0,0,0,NULL,NULL,NULL
Jul-24,0,0,0,0,NULL,NULL,NULL
Aug-24,0,0,0,0,NULL,NULL,NULL
Sep-24,0,0,0,0,NULL,NULL,NULL
Oct-24,0,0,0,0,NULL,NULL,NULL
Nov-24,0,0,0,0,NULL,NULL,NULL
Dec-24,0,0,0,0,NULL,NULL,NULL
Jan-25,0,0,0,0,NULL,NULL,NULL
Feb-25,0,0,0,0,NULL,NULL,NULL
Mar-25,0,0,0,0,NULL,NULL,NULL
Apr-25,0,0,0,0,NULL,NULL,NULL
May-25,0,0,0,0,NULL,NULL,NULL
Jun-25,0,0,0,0,NULL,NULL,NULL
Jul-25,0,0,0,0,NULL,NULL,NULL
Aug-25,0,0,0,0,NULL,NULL,NULL
Sep-25,0,0,0,0,NULL,NULL,NULL
Oct-25,0,0,0,0,NULL,NULL,NULL
