acquisition_cohort,new_customers,cust_retained_m12,cust_retained_m24,year_2_retention_percentage,year_3_retention_percentage
Feb-23,262,125,117,47.71,44.66
Mar-23,375,199,204,53.07,54.40
Apr-23,171,78,91,45.61,53.22
May-23,99,59,48,59.60,48.48
Jun-23,44,24,26,54.55,59.09
Jul-23,26,10,18,38.46,69.23
Aug-23,13,9,7,69.23,53.85
Sep-23,4,0,1,0.00,25.00
Oct-23,1,1,0,100.00,0.00
Nov-23,3,3,0,100.00,0.00
Dec-23,1,1,0,100.00,0.00
Jan-24,0,0,0,NULL,NULL
Feb-24,0,0,0,NULL,NULL
Mar-24,1,0,0,0.00,0.00
Apr-24,0,0,0,NULL,NULL
May-24,0,0,0,NULL,NULL
Jun-24,0,0,0,NULL,NULL
Jul-24,0,0,0,NULL,NULL
Aug-24,0,0,0,NULL,NULL
Sep-24,0,0,0,NULL,NULL
Oct-24,0,0,0,NULL,NULL
Nov-24,0,0,0,NULL,NULL
Dec-24,0,0,0,NULL,NULL
Jan-25,0,0,0,NULL,NULL
Feb-25,0,0,0,NULL,NULL
Mar-25,0,0,0,NULL,NULL
Apr-25,0,0,0,NULL,NULL
May-25,0,0,0,NULL,NULL
Jun-25,0,0,0,NULL,NULL
Jul-25,0,0,0,NULL,NULL
Aug-25,0,0,0,NULL,NULL
Sep-25,0,0,0,NULL,NULL
Oct-25,0,0,0,NULL,NULL
