item_id,item_name,baseline_gross_revenue,baseline_true_net_profit,discounted_revenue_10pct,profit_after_10pct_discount,profit_sensitivity_variance_pct
it014,"Tandoori Fire",185013.47,27270.06,166512.12,8768.71,-67.8
it013,"Tandoori Fire",146368.27,23489.20,131731.44,8852.37,-62.3
it008,"Brooklyn Bold",181061.92,22038.68,162955.73,3932.49,-82.2
it016,"Tropic Thunder",173286.97,20780.03,155958.27,3451.33,-83.4
it007,"Brooklyn Bold",160823.28,20314.80,144740.95,4232.47,-79.2
it002,Mediterraneo,162802.97,19970.14,146522.67,3689.84,-81.5
it006,"Forest Feast",174896.43,19030.59,157406.78,1540.94,-91.9
it012,"Texan BBQ",180395.79,18652.58,162356.21,613.00,-96.7
it003,"Spicy Ember",133619.34,17080.01,120257.40,3718.07,-78.2
it015,"Tropic Thunder",135329.78,16542.07,121796.80,3009.09,-81.8
it001,Mediterraneo,131751.56,16095.06,118576.41,2919.91,-81.9
it005,"Forest Feast",138655.49,16045.41,124789.94,2179.86,-86.4
it004,"Spicy Ember",166493.58,15698.15,149844.22,-951.21,-106.1
it011,"Texan BBQ",129977.75,13947.58,116979.98,949.81,-93.2
it010,"Nordic Wave",178425.63,8916.85,160583.06,-8925.72,-200.1
it009,"Nordic Wave",128981.75,7993.01,116083.58,-4905.16,-161.4
it024,"Mango Sticky Rice",50193.79,6337.69,45174.41,1318.31,-79.2
it018,"Cauliflower Bites",57917.91,6010.55,52126.12,218.76,-96.4
it021,"Salted Caramel Tart",51334.56,5658.13,46201.10,524.67,-90.7
it019,"Garlic Knot Bombs",50431.45,4990.40,45388.31,-52.74,-101.1
it022,"Espresso Panna Cotta",46360.67,4360.56,41724.60,-275.51,-106.3
it023,"Berry Crumble Cup",40579.26,4250.79,36521.33,192.86,-95.5
it020,"Super Green Salad",52880.15,4215.04,47592.13,-1072.98,-125.5
it017,"Truffle Fries",65319.54,2417.27,58787.59,-4114.68,-270.2
it025,"Cold Brew Coffee",28583.56,-3639.89,25725.21,-6498.24,78.5
it029,"Lime Mint Sparkle",25737.35,-3970.01,23163.62,-6543.74,64.8
it031,"Berry Kombucha",26283.19,-4429.88,23654.87,-7058.20,59.3
it027,"Ginger Fizz",21541.75,-5110.93,19387.58,-7265.10,42.1
it026,"Cold Brew Coffee",66649.16,-5877.53,59984.25,-12542.44,113.4
it030,"Lime Mint Sparkle",39338.60,-9816.31,35404.74,-13750.16,40.1
it028,"Ginger Fizz",46078.08,-9931.55,41470.27,-14539.35,46.4
it032,"Berry Kombucha",52415.91,-12279.04,47174.32,-17520.63,42.7
