order_date,revenue,prev_revenue,revenue_change,growth_rate
2023-02-16,3745.7800,NULL,NULL,NULL
2023-02-17,2921.8920,3745.7800,-823.8880,-0.21995098
2023-02-18,3389.1370,2921.8920,467.2450,0.15991180
2023-02-19,4005.7440,3389.1370,616.6070,0.18193629
2023-02-20,3444.2170,4005.7440,-561.5270,-0.14018045
2023-02-21,3525.5620,3444.2170,81.3450,0.02361785
2023-02-22,2800.0870,3525.5620,-725.4750,-0.20577570
2023-02-23,3301.6720,2800.0870,501.5850,0.17913193
2023-02-24,3349.6630,3301.6720,47.9910,0.01453536
2023-02-25,3394.2880,3349.6630,44.6250,0.01332224
2023-02-26,3597.9650,3394.2880,203.6770,0.06000581
2023-02-27,3024.3850,3597.9650,-573.5800,-0.15941789
2023-02-28,3789.2830,3024.3850,764.8980,0.25291026
2023-03-01,3372.6640,3789.2830,-416.6190,-0.10994666
2023-03-02,2838.7790,3372.6640,-533.8850,-0.15829771
2023-03-03,3089.0530,2838.7790,250.2740,0.08816255
2023-03-04,3825.7650,3089.0530,736.7120,0.23849121
2023-03-05,3471.9610,3825.7650,-353.8040,-0.09247928
2023-03-06,3099.4910,3471.9610,-372.4700,-0.10727943
2023-03-07,2612.3900,3099.4910,-487.1010,-0.15715516
2023-03-08,3579.3840,2612.3900,966.9940,0.37015683
2023-03-09,2835.2600,3579.3840,-744.1240,-0.20789164
2023-03-10,3507.1340,2835.2600,671.8740,0.23697086
2023-03-11,3674.6180,3507.1340,167.4840,0.04775523
2023-03-12,4009.0420,3674.6180,334.4240,0.09100919
2023-03-13,3158.0560,4009.0420,-850.9860,-0.21226667
2023-03-14,2821.4220,3158.0560,-336.6340,-0.10659532
2023-03-15,3590.3490,2821.4220,768.9270,0.27253172
2023-03-16,3342.4210,3590.3490,-247.9280,-0.06905401
2023-03-17,3806.1980,3342.4210,463.7770,0.13875481
2023-03-18,3599.7160,3806.1980,-206.4820,-0.05424889
2023-03-19,2722.8390,3599.7160,-876.8770,-0.24359616
2023-03-20,3459.1260,2722.8390,736.2870,0.27041151
2023-03-21,4288.7090,3459.1260,829.5830,0.23982445
2023-03-22,3642.7090,4288.7090,-646.0000,-0.15062808
2023-03-23,4103.7150,3642.7090,461.0060,0.12655581
2023-03-24,3089.2740,4103.7150,-1014.4410,-0.24720065
2023-03-25,3444.3360,3089.2740,355.0620,0.11493380
2023-03-26,4354.9920,3444.3360,910.6560,0.26439232
2023-03-27,3524.8650,4354.9920,-830.1270,-0.19061505
2023-03-28,3401.8700,3524.8650,-122.9950,-0.03489353
2023-03-29,3647.3160,3401.8700,245.4460,0.07215032
2023-03-30,3710.9470,3647.3160,63.6310,0.01744598
2023-03-31,3226.8720,3710.9470,-484.0750,-0.13044514
2023-04-01,2308.3450,3226.8720,-918.5270,-0.28464934
2023-04-02,3182.8420,2308.3450,874.4970,0.37884155
2023-04-03,4313.0870,3182.8420,1130.2450,0.35510559
2023-04-04,4239.3580,4313.0870,-73.7290,-0.01709425
2023-04-05,3655.8840,4239.3580,-583.4740,-0.13763263
