order_date,total_orders,total_order_lines,order_line_density_velocity,order_velocity
2023-02-16,25,64,2.56,25
2023-02-17,22,53,2.41,22
2023-02-18,24,51,2.13,24
2023-02-19,25,65,2.60,25
2023-02-20,23,65,2.83,23
2023-02-21,24,63,2.63,24
2023-02-22,22,53,2.41,22
2023-02-23,22,53,2.41,22
2023-02-24,24,60,2.50,24
2023-02-25,20,59,2.95,20
2023-02-26,21,59,2.81,21
2023-02-27,20,56,2.80,20
2023-02-28,23,61,2.65,23
2023-03-01,20,58,2.90,20
2023-03-02,21,44,2.10,21
2023-03-03,23,56,2.43,23
2023-03-04,21,60,2.86,21
2023-03-05,24,59,2.46,24
2023-03-06,23,52,2.26,23
2023-03-07,24,51,2.13,24
2023-03-08,25,60,2.40,25
2023-03-09,20,46,2.30,20
2023-03-10,25,63,2.52,25
2023-03-11,23,63,2.74,23
2023-03-12,24,72,3.00,24
2023-03-13,25,59,2.36,25
2023-03-14,20,50,2.50,20
2023-03-15,24,65,2.71,24
2023-03-16,22,54,2.45,22
2023-03-17,25,62,2.48,25
2023-03-18,25,59,2.36,25
2023-03-19,23,57,2.48,23
2023-03-20,25,64,2.56,25
2023-03-21,23,65,2.83,23
2023-03-22,25,63,2.52,25
2023-03-23,24,61,2.54,24
2023-03-24,22,55,2.50,22
2023-03-25,23,61,2.65,23
2023-03-26,24,70,2.92,24
2023-03-27,24,66,2.75,24
2023-03-28,23,61,2.65,23
2023-03-29,23,61,2.65,23
2023-03-30,24,58,2.42,24
2023-03-31,24,54,2.25,24
2023-04-01,21,52,2.48,21
2023-04-02,23,49,2.13,23
2023-04-03,24,75,3.13,24
2023-04-04,23,66,2.87,23
2023-04-05,24,63,2.63,24
2023-04-06,25,71,2.84,25
2023-04-07,23,60,2.61,23
2023-04-08,23,58,2.52,23
2023-04-09,20,52,2.60,20
2023-04-10,22,54,2.45,22
2023-04-11,23,63,2.74,23
2023-04-12,25,60,2.40,25
2023-04-13,22,50,2.27,22
2023-04-14,25,66,2.64,25
2023-04-15,24,63,2.63,24
2023-04-16,22,54,2.45,22
2023-04-17,22,59,2.68,22
2023-04-18,23,62,2.70,23
2023-04-19,23,50,2.17,23
2023-04-20,20,54,2.70,20
2023-04-21,22,62,2.82,22
2023-04-22,22,55,2.50,22
2023-04-23,22,52,2.36,22
2023-04-24,23,52,2.26,23
2023-04-25,24,61,2.54,24
