fiscal_month,gross_sales,ticket_velocity,corporate_momentum_index_score,overall_enterprise_health_grade
2023-03,106851.27,721,193.1,"GRADE A: Strong Market Acceleration"
2023-04,101689.34,685,45.1,"GRADE B: Stable Maintenance Pace"
2023-05,99147.79,704,50.7,"GRADE B: Stable Maintenance Pace"
2023-06,99496.63,671,47.3,"GRADE B: Stable Maintenance Pace"
2023-07,108446.67,698,56.0,"GRADE B: Stable Maintenance Pace"
2023-08,100742.26,697,47.1,"GRADE B: Stable Maintenance Pace"
2023-09,97747.33,675,46.9,"GRADE B: Stable Maintenance Pace"
2023-10,102924.80,709,55.1,"GRADE B: Stable Maintenance Pace"
2023-11,94460.19,673,43.7,"GRADE F: Severe Capital De-acceleration! Review Strategy Dashboard."
2023-12,105569.17,707,57.7,"GRADE B: Stable Maintenance Pace"
2024-01,104772.16,699,49.0,"GRADE B: Stable Maintenance Pace"
2024-02,96282.41,646,42.2,"GRADE F: Severe Capital De-acceleration! Review Strategy Dashboard."
2024-03,106958.61,695,59.0,"GRADE B: Stable Maintenance Pace"
2024-04,97451.51,670,44.3,"GRADE F: Severe Capital De-acceleration! Review Strategy Dashboard."
2024-05,99918.04,686,52.4,"GRADE B: Stable Maintenance Pace"
2024-06,98677.35,660,47.2,"GRADE B: Stable Maintenance Pace"
2024-07,99570.70,687,52.8,"GRADE B: Stable Maintenance Pace"
2024-08,101977.95,696,51.8,"GRADE B: Stable Maintenance Pace"
2024-09,91513.65,655,42.4,"GRADE F: Severe Capital De-acceleration! Review Strategy Dashboard."
2024-10,99910.67,689,56.8,"GRADE B: Stable Maintenance Pace"
2024-11,91946.74,654,43.8,"GRADE F: Severe Capital De-acceleration! Review Strategy Dashboard."
2024-12,97225.18,674,54.1,"GRADE B: Stable Maintenance Pace"
2025-01,104372.95,707,55.9,"GRADE B: Stable Maintenance Pace"
2025-02,94435.65,634,40.0,"GRADE F: Severe Capital De-acceleration! Review Strategy Dashboard."
2025-03,106935.05,697,61.3,"GRADE B: Stable Maintenance Pace"
2025-04,92864.95,657,41.3,"GRADE F: Severe Capital De-acceleration! Review Strategy Dashboard."
2025-05,102160.29,695,57.5,"GRADE B: Stable Maintenance Pace"
2025-06,94359.69,674,45.1,"GRADE B: Stable Maintenance Pace"
2025-07,104020.62,691,55.6,"GRADE B: Stable Maintenance Pace"
2025-08,103252.44,692,49.8,"GRADE B: Stable Maintenance Pace"
2025-09,96553.08,681,46.5,"GRADE B: Stable Maintenance Pace"
2025-10,83004.06,571,34.7,"GRADE F: Severe Capital De-acceleration! Review Strategy Dashboard."
